epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.09690552,0.10041405,0.97853945,0.98650648,0.94617989,0.96460548,0.89785712,0.93163086,0.85557442,0.84612127,0.93121408,0.93965571,0.9616346,0.99091633,0.03036034,0.01858398,0.06654518,0.08183007
2,0.09061261,0.10086027,0.9845033,0.98616488,0.95537775,0.97169428,0.91456768,0.94494689,0.8659129,0.8468481,0.94040098,0.95529995,0.97083928,0.98866115,0.02688674,0.01941449,0.06372587,0.08144578
3,0.08548622,0.10139875,0.98512528,0.9869644,0.96027272,0.96786834,0.92358134,0.93773728,0.86806239,0.84468559,0.9448916,0.94721324,0.97616288,0.98944434,0.02579925,0.01875243,0.05968697,0.08264632
4,0.09666215,0.10239188,0.9812492,0.9868391,0.95711977,0.96390365,0.91776576,0.9303224,0.86300044,0.84204568,0.94165197,0.93854438,0.97310422,0.99067138,0.02761063,0.01807321,0.06905153,0.08431866
5,0.08496684,0.10289268,0.98443061,0.98703461,0.96174628,0.97548583,0.92631142,0.95214479,0.86869678,0.84446334,0.95323757,0.96758364,0.97040826,0.98351816,0.025727,0.02022675,0.05923984,0.08266592
6,0.0971308,0.10034473,0.98193527,0.98659289,0.95043796,0.96467331,0.90555672,0.93175741,0.8540595,0.84483086,0.9484716,0.94214848,0.95241248,0.98830158,0.02991149,0.01817507,0.0672193,0.08216967
7,0.08291635,0.10122318,0.9853457,0.9869696,0.95700719,0.97555017,0.91755875,0.95226739,0.8682878,0.84639093,0.94447446,0.96731243,0.96987699,0.98392942,0.02587246,0.01960707,0.05704389,0.08161611
8,0.07995999,0.10052986,0.98711372,0.98661729,0.96126664,0.96627385,0.92542193,0.93474839,0.8728582,0.84618619,0.95088929,0.94589321,0.97187298,0.9875521,0.0246148,0.01877156,0.05534519,0.0817583
9,0.08281629,0.09933381,0.98447594,0.98627139,0.96318712,0.96866656,0.92898839,0.93923703,0.87430322,0.84761053,0.95503468,0.95017876,0.97147995,0.98788807,0.02530122,0.01839942,0.05751507,0.08093439
10,0.09788245,0.10105042,0.98368985,0.98621862,0.96079861,0.97687256,0.92455479,0.95479069,0.87007319,0.8466825,0.94261161,0.96972848,0.97970124,0.98412269,0.02528154,0.01943799,0.07260091,0.08161244
11,0.09237066,0.09981629,0.98453694,0.98698103,0.96212899,0.97227467,0.92702175,0.94604526,0.87401706,0.8467396,0.94593174,0.95817995,0.9788906,0.98679025,0.02439088,0.01837288,0.06797978,0.08144341
12,0.08053211,0.10022329,0.98679519,0.98700463,0.96587131,0.97345049,0.93399528,0.94827428,0.8777245,0.84806654,0.95523653,0.96171855,0.97674555,0.9854722,0.02368678,0.01934187,0.05684532,0.08088142
13,0.08582355,0.10047819,0.9839442,0.98670133,0.95707431,0.96776937,0.91768218,0.93755149,0.8667076,0.84528343,0.9465677,0.94787653,0.96781679,0.98851507,0.02657196,0.01804957,0.05925159,0.08242863
14,0.08181553,0.10206403,0.98413522,0.98692865,0.96185011,0.96829607,0.92650408,0.93854065,0.87444997,0.8437935,0.94777627,0.94923679,0.97634822,0.9881364,0.0234952,0.01831782,0.05832033,0.08374621
15,0.07837008,0.09939403,0.98653588,0.98721596,0.96258201,0.97255496,0.92786323,0.94657615,0.87742424,0.84848803,0.950882,0.95850615,0.97457352,0.98702173,0.02363842,0.01857267,0.05473166,0.08082136
16,0.08298924,0.10124788,0.9844494,0.98687425,0.96414494,0.97411877,0.93077206,0.94954342,0.87400583,0.84721324,0.95514102,0.96237565,0.97332024,0.98615202,0.02467152,0.01951432,0.05831772,0.08173356
17,0.07782217,0.09867345,0.98787521,0.98635112,0.9656352,0.97048772,0.93355381,0.94266745,0.88047381,0.84980657,0.95558897,0.95370124,0.97589491,0.98787571,0.02371048,0.0187954,0.05411168,0.07987806
18,0.08740418,0.1003577,0.98276732,0.98644858,0.96205914,0.96987968,0.92689206,0.94152077,0.87395099,0.84659156,0.94675084,0.95141763,0.97787062,0.98907241,0.02594138,0.01832896,0.0614628,0.08202874
19,0.0806393,0.09937493,0.98374549,0.9864649,0.96472238,0.97182991,0.93184896,0.94520345,0.87747199,0.84867891,0.95443085,0.95676502,0.97523827,0.9873768,0.02567345,0.01874554,0.05496585,0.08062938
20,0.08084486,0.09916313,0.98737588,0.98609146,0.96530046,0.97310097,0.93292829,0.94761114,0.88272304,0.84784779,0.94916799,0.96042282,0.98199081,0.98611831,0.02398415,0.01833695,0.05686071,0.08082618
21,0.08344693,0.09959463,0.98713618,0.98656392,0.96337569,0.97169147,0.92933929,0.94494157,0.87465335,0.84782506,0.94706474,0.95562311,0.98025834,0.98830944,0.02496301,0.01839833,0.05848392,0.0811963
22,0.07930671,0.10012246,0.98700126,0.98663822,0.96898341,0.97412751,0.93983299,0.94956003,0.88624868,0.84717197,0.95539763,0.96212746,0.98296114,0.98643068,0.02294234,0.0184861,0.05636437,0.08163636
23,0.08804289,0.1002677,0.98092906,0.98644466,0.95857345,0.97446207,0.92044269,0.95019602,0.87158759,0.84733986,0.94111602,0.96227463,0.97669078,0.98696217,0.02632526,0.0187169,0.06171763,0.08155081
