epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.5659252,1.06552289,0.51179087,0.16836179,0.2898502,0.28843275,0.16948819,0.16851967,0.29762371,0.19344758,0.55416861,0.19101744,0.19624732,0.58861575,0.12785118,0.50765848,0.43807402,0.55786441
2,0.38482328,1.15366342,0.79419308,0.31780345,0.80952624,0.36780727,0.68000343,0.22534549,0.46402665,0.22680492,0.80602319,0.32483949,0.81305987,0.42387485,0.08384408,0.6255848,0.3009792,0.52807863
3,0.24626981,0.24335446,0.88825748,0.95535562,0.8758188,0.91906732,0.77907262,0.85025398,0.61308433,0.63337482,0.85172394,0.94645289,0.90131661,0.89322197,0.05460669,0.03001816,0.19166312,0.21333629
4,0.18208937,0.15310591,0.93075573,0.98352446,0.90876571,0.9604533,0.83278698,0.92391549,0.71741615,0.76270074,0.87934764,0.95849765,0.94022024,0.96241695,0.04521482,0.02365964,0.13687455,0.12944627
5,0.15481969,0.13743792,0.95286454,0.98426683,0.90849596,0.96502561,0.83233404,0.93241496,0.75609475,0.79170085,0.88161485,0.94767259,0.93706788,0.98302599,0.04115151,0.02165584,0.11366818,0.11578208
6,0.12618976,0.1317767,0.97036649,0.98361633,0.93332583,0.96260597,0.8749868,0.92790776,0.80596501,0.80089668,0.9152119,0.94707803,0.95217125,0.97865159,0.03298816,0.02221549,0.0932016,0.10956121
7,0.11527697,0.12078182,0.97608942,0.98631444,0.93484498,0.96574745,0.87766097,0.93376366,0.81422766,0.81664795,0.92280202,0.94599747,0.94720644,0.98633967,0.03167808,0.01999277,0.08359889,0.10078905
8,0.10007117,0.12025393,0.98252805,0.98590272,0.95051204,0.9683225,0.90569123,0.93859031,0.84068591,0.81836426,0.93712777,0.95542914,0.96428416,0.98156861,0.02655329,0.02101171,0.07351788,0.09924222
9,0.20722571,0.13774855,0.95407311,0.98044201,0.9146124,0.91940148,0.84265972,0.85082614,0.78264999,0.80142041,0.88717434,0.86073099,0.94380181,0.98665542,0.0440716,0.02806509,0.16315411,0.10968346
10,0.11645723,0.12159184,0.97214491,0.98462801,0.93196329,0.96551502,0.87259481,0.93332917,0.82011102,0.81645723,0.92907552,0.95616338,0.93486907,0.97505138,0.03411186,0.0207867,0.08234537,0.10080514
11,0.10672801,0.1132425,0.97694771,0.97676884,0.93888979,0.96304248,0.88481836,0.92871933,0.8332186,0.83167696,0.91871836,0.94640093,0.95996688,0.98027977,0.03131927,0.0241277,0.07540874,0.08911481
12,0.09582602,0.10741259,0.98021698,0.98514799,0.9488675,0.9666592,0.9027097,0.93546988,0.85093245,0.83619875,0.93964724,0.94745429,0.9582705,0.98665879,0.03008698,0.01940273,0.06573905,0.08800986
13,0.09820453,0.11019767,0.97900472,0.98713507,0.94779858,0.97015827,0.90077675,0.94204598,0.84976361,0.83293494,0.9298678,0.95614973,0.96643448,0.98458339,0.02953683,0.02094771,0.0686677,0.08924996
14,0.08958431,0.09950996,0.98382422,0.98656668,0.95646587,0.9629757,0.91656405,0.92859511,0.86580285,0.84782873,0.94309903,0.93604014,0.97021707,0.99150738,0.02885896,0.01892304,0.06072535,0.08058692
15,0.09399933,0.10063851,0.98322395,0.98686133,0.95527995,0.9656241,0.91438845,0.93353307,0.86218313,0.84790994,0.94611134,0.94355432,0.964628,0.98875104,0.02861517,0.01974614,0.06538416,0.08089237
16,0.10113078,0.10078428,0.98675132,0.98629953,0.96114268,0.97006014,0.92519218,0.94186095,0.87209199,0.84611692,0.95077566,0.9536832,0.97173826,0.98700937,0.02400347,0.01907387,0.07712731,0.0817104
17,0.09538282,0.1010101,0.98459443,0.98654499,0.95524018,0.96942464,0.91431557,0.94066352,0.86851445,0.84498994,0.93380449,0.95120118,0.9776831,0.98836001,0.02548988,0.01838386,0.06989294,0.08262625
18,0.07719943,0.10129901,0.98702152,0.98643248,0.96595715,0.97062816,0.93415583,0.94293249,0.87701947,0.84591058,0.96010792,0.95391805,0.97187809,0.98793414,0.02418495,0.01905482,0.05301449,0.08224419
19,0.08335856,0.10188223,0.98387118,0.98637542,0.95865918,0.96284531,0.92060078,0.92835266,0.87130864,0.84613639,0.94388748,0.93673159,0.97390057,0.99045676,0.02683941,0.01985113,0.05651915,0.0820311
20,0.08357218,0.10001276,0.98425319,0.98725964,0.95738109,0.96830742,0.91824643,0.93856198,0.87103362,0.8507444,0.93775441,0.94688983,0.97784689,0.99071632,0.0262676,0.0204689,0.05730458,0.07954386
21,0.09263255,0.10725755,0.98096241,0.986139,0.95493593,0.97007994,0.91375827,0.94189828,0.86129934,0.84714936,0.94622303,0.95888068,0.96381078,0.98154389,0.03144664,0.02367912,0.06118591,0.08357844
22,0.09285829,0.10216176,0.98208474,0.98705116,0.94650835,0.97177295,0.89844884,0.9450957,0.85525961,0.84851376,0.94159507,0.95794715,0.95147318,0.98600369,0.02996915,0.02062261,0.06288914,0.08153915
23,0.08848424,0.10517379,0.98398847,0.98743724,0.95435479,0.97033599,0.91269465,0.94238119,0.86163493,0.84125398,0.94709111,0.95380735,0.96173075,0.9874476,0.02779451,0.01928909,0.06068973,0.0858847
24,0.08438492,0.10326229,0.98473541,0.98750222,0.95907421,0.9720753,0.92136656,0.94566781,0.87403172,0.84223604,0.93996155,0.95361998,0.97898026,0.99125905,0.02578065,0.0181801,0.05860427,0.0850822
