epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.05350675,0.04257161,0.98188114,0.9706521,0.96479835,0.97309324,0.93199073,0.94759649,0.90914085,0.92605091,0.96600325,0.96122238,0.96359644,0.98526097,0.02303074,0.01776825,0.030476,0.02480336
2,0.04971964,0.04397542,0.98313856,0.97065879,0.96782785,0.9707941,0.93766127,0.94324576,0.91542068,0.9228531,0.95962204,0.95328123,0.97617521,0.98896248,0.02157602,0.01796897,0.02814362,0.02600645
3,0.07596267,0.04467159,0.97769252,0.97079678,0.95749312,0.97090144,0.91845257,0.94344844,0.89212474,0.92241082,0.95691202,0.95366748,0.95807493,0.98876974,0.02694567,0.01840633,0.049017,0.02626526
4,0.06324263,0.04353192,0.97198735,0.97074993,0.96359247,0.97277661,0.92974282,0.94699617,0.90598178,0.92426253,0.95682242,0.95846554,0.970459,0.98752152,0.02585836,0.01802871,0.03738426,0.02550321
5,0.05738741,0.04238838,0.98247662,0.97049367,0.96127429,0.97328389,0.92543612,0.94795814,0.90263374,0.92494152,0.96498362,0.96245282,0.95759337,0.98436152,0.02418246,0.01727047,0.03320495,0.0251179
6,0.05980822,0.04363864,0.97948583,0.97067771,0.9604998,0.97167,0.92400155,0.94490096,0.90028482,0.9230145,0.95861385,0.95691571,0.96239318,0.9868864,0.02537565,0.01771764,0.03443257,0.02592099
7,0.05621132,0.0427379,0.97963382,0.97119512,0.96424198,0.9725558,0.93095295,0.94657774,0.9060126,0.92487064,0.96350918,0.96140112,0.9649759,0.98397237,0.02314563,0.0175441,0.03306569,0.0251938
8,0.05231187,0.04254716,0.98251626,0.97100727,0.96636089,0.97283633,0.9349113,0.94710937,0.91138834,0.92466382,0.96525262,0.96152974,0.96747171,0.984412,0.02202039,0.01725678,0.03029149,0.02529038
9,0.04756931,0.04213779,0.9840542,0.97098284,0.96890638,0.9735999,0.93968807,0.94855787,0.91617083,0.926661,0.96219811,0.96277428,0.97570884,0.98467174,0.02084685,0.01757049,0.02672246,0.0245673
10,0.07678027,0.04136637,0.9792688,0.9716432,0.96173056,0.97335256,0.92628226,0.94808843,0.898431,0.92701747,0.9598685,0.96056835,0.96359987,0.98648165,0.02442745,0.01697156,0.05235282,0.02439481
11,0.05418213,0.04165778,0.98146273,0.97113422,0.96757221,0.97360035,0.93718148,0.94855873,0.91098419,0.92746308,0.96645862,0.96198328,0.96868837,0.98550143,0.02225221,0.01737621,0.03192992,0.02428156
12,0.05795985,0.04239976,0.97905355,0.97100762,0.96153368,0.97342767,0.92591706,0.94823097,0.90295066,0.92508162,0.96453016,0.96240419,0.95855576,0.98470661,0.02532236,0.01722779,0.03263749,0.02517197
13,0.05170502,0.04209116,0.98185363,0.97077236,0.96498824,0.97349149,0.9323452,0.94835208,0.91054139,0.92571394,0.96422547,0.96186167,0.96575222,0.98540598,0.0221569,0.01716529,0.02954812,0.02492587
14,0.05143123,0.04183237,0.98291031,0.97097012,0.96716066,0.97349983,0.93640959,0.94836792,0.91436607,0.92589218,0.96104853,0.96171885,0.97335104,0.98557302,0.02172965,0.01699693,0.02970158,0.02483543
15,0.05363384,0.0423882,0.98381772,0.9706489,0.96383588,0.97337226,0.93019616,0.94812581,0.90734126,0.92600681,0.96073011,0.96148822,0.9669618,0.98555375,0.02236368,0.01751129,0.03127016,0.02487691
16,0.05064637,0.0423627,0.98238253,0.97107118,0.96780931,0.97312413,0.93762647,0.94765508,0.9142085,0.92622649,0.96479505,0.96033488,0.97084246,0.98625862,0.02152335,0.01757765,0.02912301,0.02478505
17,0.05591238,0.04256789,0.98177319,0.97112061,0.96021932,0.97271653,0.92348255,0.9468823,0.9007558,0.9250147,0.96276915,0.95855904,0.95768295,0.9872985,0.0245661,0.01737162,0.03134628,0.02519627
18,0.0529193,0.04178385,0.98239665,0.9710108,0.96406849,0.97356782,0.93062957,0.94849697,0.90825527,0.92589468,0.9641348,0.96154493,0.96400219,0.98589517,0.02316926,0.01695352,0.02975004,0.02483033
19,0.05026202,0.04202085,0.98259911,0.97072293,0.96673542,0.97361144,0.93561267,0.94857978,0.91406819,0.92750722,0.96528542,0.96150345,0.96818979,0.98602825,0.02189199,0.01768048,0.02837003,0.02434037
20,0.05581024,0.04254642,0.98370208,0.97105775,0.96217567,0.97263798,0.92710841,0.94673344,0.90539582,0.92638147,0.96136631,0.95761817,0.96298639,0.98813645,0.02363066,0.01774859,0.03217957,0.02479782
