epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.54668887,0.60581722,0.52071809,0.31582338,0.46410792,0.25436547,0.30217483,0.14571519,0.27675683,0.21712525,0.6093679,0.35218519,0.37477077,0.19907283,0.19814022,0.21084069,0.34854865,0.39497653
2,0.3703243,0.43207455,0.88023327,0.88637438,0.81882613,0.79812673,0.69323082,0.66406895,0.43375352,0.34606909,0.82691887,0.91979166,0.81089026,0.70488805,0.12690923,0.12527051,0.24341507,0.30680403
3,0.24155327,0.22218676,0.93200797,0.9593498,0.86863354,0.93272069,0.76777382,0.87392371,0.57753895,0.61075917,0.87770969,0.93054962,0.85974319,0.93490192,0.0771076,0.05832936,0.16444567,0.1638574
4,0.15514772,0.13034058,0.95318964,0.96459602,0.9128357,0.92880125,0.83964833,0.86706716,0.72109949,0.77150921,0.89561359,0.88171478,0.93073313,0.9812006,0.05006498,0.04098795,0.10508274,0.08935263
5,0.13910968,0.08592986,0.94912485,0.96874745,0.90883511,0.94928561,0.83290355,0.90346685,0.75818524,0.83788672,0.92111064,0.93148781,0.89688246,0.96777678,0.04925952,0.02612955,0.08985016,0.05980031
6,0.11058881,0.08508465,0.96363888,0.96735027,0.91756676,0.94393144,0.84768901,0.89381644,0.7953566,0.83489372,0.92106268,0.96084643,0.91409728,0.9276017,0.04128431,0.02466788,0.0693045,0.06041677
7,0.13422147,0.07743713,0.94521892,0.9689038,0.90771694,0.95112225,0.8310272,0.90679991,0.7804005,0.84890804,0.9125592,0.96068804,0.9029258,0.94174508,0.04962813,0.0231489,0.08459333,0.05428824
8,0.10364267,0.07079197,0.96357309,0.96902105,0.93159792,0.96184633,0.87195442,0.92649706,0.81476088,0.86363201,0.92711236,0.9532244,0.9361271,0.97062565,0.03836626,0.02120019,0.06527641,0.04959178
9,0.12925518,0.07835879,0.95240481,0.96705311,0.89750132,0.93940849,0.81406112,0.88574015,0.77260446,0.84960488,0.93045544,0.96215734,0.86680163,0.91771052,0.05141148,0.02410582,0.0778437,0.05425296
10,0.10131111,0.08735976,0.96317838,0.96722053,0.92808146,0.94716458,0.86581342,0.89963214,0.82366441,0.85714193,0.91594342,0.9053869,0.94054553,0.9929843,0.03888518,0.03404395,0.06242593,0.05331581
11,0.11419328,0.06193113,0.95692622,0.96749777,0.9170221,0.95695277,0.84675976,0.91745871,0.80654857,0.88617861,0.93983999,0.93022254,0.89528593,0.98526464,0.04789258,0.02179763,0.0663007,0.0401335
12,0.10369652,0.07249764,0.96627023,0.96863776,0.92514634,0.95224885,0.86071841,0.90885021,0.82245651,0.8701512,0.92749409,0.91872354,0.92281044,0.98831359,0.04002457,0.02571772,0.06367196,0.04677992
13,0.09125408,0.06132885,0.96874927,0.97108481,0.93394276,0.95879606,0.87607187,0.92085328,0.84614968,0.88546166,0.93571112,0.93951764,0.93218107,0.97888222,0.03763308,0.02118603,0.05362101,0.04014282
14,0.07541018,0.05562151,0.97573636,0.9701915,0.94985643,0.96157793,0.90450149,0.92599913,0.86987838,0.90162104,0.94549298,0.93914348,0.95426033,0.98511045,0.02989492,0.02128564,0.04551526,0.03433587
15,0.06876219,0.05222446,0.98089073,0.97088339,0.95196734,0.96403375,0.90833747,0.93056483,0.87847486,0.90305622,0.9568312,0.94841255,0.94715267,0.98017816,0.02752676,0.01911937,0.04123542,0.03310509
16,0.09840581,0.05134481,0.96638088,0.96967947,0.9382561,0.96691866,0.88369342,0.93595597,0.85285533,0.90609021,0.92957868,0.954694,0.94709704,0.97946044,0.03637321,0.01914087,0.0620326,0.03220394
17,0.0702262,0.05310275,0.97664482,0.96938805,0.95359284,0.96577149,0.9113019,0.93380862,0.87867134,0.90346115,0.95562343,0.95205581,0.95157086,0.97988814,0.02783015,0.01946215,0.04239605,0.0336406
18,0.07616011,0.05142996,0.97743559,0.96945664,0.94734172,0.96674686,0.89995181,0.93563409,0.86714136,0.9055421,0.95676763,0.95443841,0.93809973,0.97937692,0.02980953,0.01894583,0.04635058,0.03248413
19,0.08683001,0.051798,0.96680361,0.96903031,0.93615465,0.96458075,0.8799725,0.93158471,0.85321125,0.90822102,0.93289489,0.95177665,0.93943727,0.97773405,0.03772862,0.02081522,0.04910139,0.03098278
20,0.07693049,0.05023184,0.97456818,0.97148973,0.94558216,0.96770582,0.89678126,0.93743222,0.86761662,0.90716593,0.94296113,0.95362879,0.9482178,0.98220468,0.03226383,0.01840252,0.04466666,0.03182932
21,0.07402961,0.05612362,0.97200468,0.97096913,0.94815177,0.96194136,0.90141499,0.92667343,0.87404901,0.89736999,0.9403237,0.9386007,0.95611126,0.98647247,0.03139138,0.02021205,0.04263823,0.03591157
22,0.07274581,0.05549195,0.97416368,0.97166752,0.94847687,0.95946836,0.90200285,0.92209436,0.87972667,0.89811759,0.95134773,0.9466537,0.94562328,0.97263472,0.03139009,0.02103599,0.04135572,0.03445596
23,0.09788327,0.0561751,0.96910031,0.96707578,0.92531729,0.96242466,0.8610144,0.92757086,0.83649988,0.90438417,0.93068927,0.94005316,0.92000696,0.98588691,0.04079825,0.02373094,0.05708502,0.03244416
24,0.08690482,0.05040396,0.97122843,0.96800856,0.94394176,0.96440895,0.89383494,0.93126429,0.86459323,0.90754016,0.93972507,0.94919763,0.94819646,0.98011575,0.03463478,0.0193577,0.05227004,0.03104626
25,0.08908996,0.05502098,0.97058733,0.9684249,0.93466068,0.96243528,0.87733613,0.92759061,0.85061392,0.89695279,0.93755967,0.94755188,0.93177955,0.97779371,0.03732591,0.01981517,0.05176405,0.03520581
26,0.07784477,0.05107608,0.97762703,0.96902318,0.94513743,0.96814404,0.89598158,0.93825502,0.86676998,0.90588351,0.9549675,0.95942967,0.93550768,0.97701816,0.0324438,0.01901957,0.04540097,0.03205651
27,0.0700759,0.0477858,0.97553713,0.97086083,0.95113311,0.96872075,0.90681965,0.93933893,0.88183902,0.91257383,0.95462505,0.95833176,0.94766662,0.97933745,0.03067081,0.0181342,0.03940508,0.0296516
28,0.06046141,0.04487781,0.97869936,0.97036981,0.95885583,0.97119464,0.92096355,0.94400232,0.90000272,0.92012072,0.95827542,0.96094263,0.95943695,0.98166776,0.02732727,0.01802763,0.03313414,0.02685018
29,0.06805058,0.04431466,0.97739463,0.97057331,0.95351912,0.97206269,0.91116727,0.94564394,0.8876491,0.91942592,0.95806374,0.96255287,0.94901743,0.9817623,0.02835522,0.01727565,0.03969536,0.02703901
30,0.05827899,0.04506013,0.98078358,0.97058253,0.95786535,0.97183286,0.9191378,0.94520902,0.89748574,0.92032754,0.95256034,0.9595537,0.96322978,0.98443036,0.02521444,0.01814428,0.03306455,0.02691585
31,0.0593827,0.04487483,0.98072931,0.97025792,0.96175339,0.97091124,0.92632461,0.94346696,0.90270916,0.91828789,0.963028,0.95774799,0.96048215,0.98444137,0.02451502,0.01730178,0.03486768,0.02757306
32,0.06486764,0.04362458,0.97876257,0.97102043,0.95452775,0.9717519,0.91301107,0.94505587,0.88968413,0.92281963,0.95863516,0.96262478,0.95045538,0.98105375,0.02850362,0.01780075,0.03636402,0.02582383
33,0.06209978,0.04463749,0.98035007,0.97030261,0.9602506,0.97175863,0.92354042,0.94506859,0.89894529,0.92004917,0.95921923,0.95908839,0.96128419,0.98476811,0.02548285,0.01763482,0.03661693,0.02700267
34,0.05573226,0.04445313,0.98165755,0.97034286,0.9628487,0.9725443,0.92835896,0.94655594,0.90416549,0.92289252,0.96355949,0.96049712,0.96213896,0.98489752,0.02312371,0.01839372,0.03260854,0.0260594
35,0.05118386,0.04224962,0.9835038,0.97085471,0.96677421,0.97303313,0.93568533,0.9474825,0.91149703,0.92488364,0.96484108,0.96063744,0.96871511,0.98575291,0.02132037,0.01711455,0.02986349,0.02513507
36,0.05661004,0.04317244,0.98061804,0.97066135,0.96253276,0.97278406,0.92777172,0.94701028,0.90507748,0.92540906,0.96161208,0.96079463,0.96345521,0.98507649,0.02394398,0.01814015,0.03266605,0.02503229
37,0.05333343,0.04391187,0.9834636,0.97066048,0.96466972,0.97156569,0.9317507,0.94470369,0.908119,0.92376197,0.96111835,0.95572269,0.96824742,0.9879428,0.022614,0.01826473,0.03071943,0.02564714
38,0.05092535,0.04240858,0.98337912,0.97077992,0.96668116,0.97271451,0.93551101,0.94687847,0.91407761,0.92574417,0.96017125,0.95941403,0.97327994,0.98638895,0.02224999,0.01758456,0.02867536,0.02482402
39,0.06475886,0.04407742,0.97638456,0.97278369,0.95596329,0.9686373,0.91564145,0.93918202,0.892651,0.92491481,0.95617183,0.95113526,0.95575483,0.98679554,0.0289931,0.01895985,0.03576577,0.02511757
40,0.07074874,0.04586461,0.97763719,0.97137648,0.95025471,0.96921844,0.90522408,0.9402753,0.8865521,0.91868886,0.94847993,0.9639088,0.95203615,0.9745869,0.03142729,0.01857815,0.03932145,0.02728646
41,0.06755672,0.05102324,0.97824641,0.97059174,0.95541217,0.96958085,0.91463076,0.94095773,0.88818604,0.91837758,0.95075192,0.95210724,0.96011832,0.98770784,0.02722081,0.02319525,0.04033591,0.02782799
42,0.0668747,0.0458551,0.97976145,0.97101381,0.95364079,0.96932175,0.91138949,0.94046977,0.89137534,0.92024127,0.95783093,0.95873216,0.94948714,0.98014788,0.03033787,0.01900009,0.03653683,0.02685501
43,0.09551436,0.05452258,0.96926131,0.96986404,0.93178081,0.96148537,0.87227493,0.92582747,0.85432448,0.90981679,0.94029603,0.96143596,0.92341843,0.96153479,0.04253498,0.02405058,0.05297938,0.030472
44,0.10281199,0.055202,0.96185983,0.96933112,0.92826449,0.95760959,0.86613207,0.91866692,0.8463657,0.90225977,0.91305729,0.93966346,0.94398684,0.97625455,0.04623758,0.02217287,0.05657441,0.03302912
45,0.08607189,0.04991505,0.97046234,0.97189119,0.94110543,0.96688979,0.88876217,0.93590189,0.85894711,0.90964894,0.93769019,0.94947415,0.94454564,0.98495626,0.03903159,0.01899147,0.04704029,0.03092358
