epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.11423172,0.10743691,0.98074196,0.99362793,0.96569503,0.97464927,0.93366566,0.95055207,0.87235075,0.85528353,0.96230626,0.96449708,0.96910776,0.98501744,0.03764272,0.02157404,0.076589,0.08586287
2,0.10335358,0.10971146,0.99152249,0.99326951,0.96559928,0.96968004,0.93348666,0.94114457,0.87715029,0.85056071,0.96345621,0.95386075,0.9677519,0.98603288,0.03343358,0.02083213,0.06992,0.08887934
3,0.11440198,0.10897884,0.98927987,0.99372961,0.964599,0.97532599,0.93161877,0.95184028,0.87469628,0.85229949,0.95605279,0.96510641,0.97329939,0.98576432,0.03430596,0.02095034,0.08009602,0.0880285
4,0.10385763,0.10838889,0.99237881,0.99365514,0.96748237,0.97614766,0.93701294,0.95340669,0.87780723,0.85257317,0.96769682,0.96789359,0.96726802,0.98454373,0.03355727,0.02063845,0.07030036,0.08775044
5,0.10512441,0.11477256,0.99092658,0.99390586,0.96430144,0.97479223,0.93106381,0.95082407,0.87224632,0.84494844,0.96512778,0.98670921,0.96347652,0.96315967,0.03373246,0.02296686,0.07139196,0.0918057
6,0.09810939,0.10779805,0.99308291,0.99380618,0.96605433,0.97650478,0.93433762,0.95408827,0.88018879,0.85376342,0.95788984,0.96817808,0.9743592,0.98497595,0.03229765,0.02088545,0.06581174,0.08691259
7,0.1063882,0.11185956,0.99106848,0.99372446,0.96499076,0.97763185,0.9323499,0.95624247,0.87520484,0.84901102,0.96573762,0.98607765,0.96424505,0.9693295,0.0351108,0.02241043,0.0712774,0.08944913
8,0.09948472,0.11288088,0.99203491,0.99352307,0.96609531,0.97677164,0.93441428,0.95459789,0.87750568,0.84538038,0.95899857,0.98556093,0.97329787,0.96813772,0.03210045,0.02121896,0.06738427,0.09166192
9,0.11013171,0.10548995,0.99287163,0.99417434,0.96935267,0.97985008,0.94052799,0.96049615,0.88133529,0.85859974,0.96889545,0.97741043,0.96981032,0.98230194,0.03226915,0.02181248,0.07786256,0.08367748
10,0.10435173,0.10680636,0.99202123,0.99413577,0.96304118,0.98062461,0.92871691,0.96198576,0.8746121,0.85540235,0.95485937,0.9790698,0.97136442,0.98218437,0.03400037,0.02105864,0.07035136,0.08574773
11,0.09748426,0.10632858,0.9927517,0.99413777,0.97058782,0.98152148,0.94285637,0.96371349,0.88275393,0.85754537,0.97232427,0.9815905,0.96885756,0.98145247,0.03288776,0.02179063,0.0645965,0.08453796
12,0.10491335,0.10650962,0.99252761,0.99427641,0.96899358,0.98070648,0.93985214,0.96214335,0.88226251,0.85645712,0.96751696,0.97763433,0.97047473,0.983798,0.03345301,0.02118949,0.07146034,0.08532014
13,0.11185213,0.10783167,0.98840232,0.99428173,0.96746584,0.97636263,0.93698192,0.9538169,0.87311791,0.85399861,0.96283306,0.96720625,0.97214341,0.98569402,0.03396164,0.02080557,0.07789049,0.0870261
14,0.09990159,0.11456121,0.99168692,0.99389496,0.96933453,0.9737195,0.94049385,0.94878495,0.88165006,0.84437438,0.96640806,0.98740473,0.97227878,0.96040843,0.03270394,0.02265024,0.06719765,0.09191097
15,0.09675613,0.1074361,0.99242947,0.99403047,0.96913237,0.97792368,0.9401133,0.95680103,0.88032762,0.85375357,0.96495727,0.97170418,0.97334376,0.98422331,0.03236832,0.02063799,0.06438781,0.08679811
16,0.10764539,0.10952275,0.99040729,0.99389525,0.96381902,0.97944107,0.93016474,0.95971045,0.87580201,0.85042961,0.95833405,0.98121078,0.96936713,0.97767773,0.03506591,0.02092062,0.07257949,0.08860213
17,0.10419443,0.10748225,0.99179758,0.99385378,0.96779212,0.97976359,0.93759419,0.96032996,0.8773015,0.8534766,0.96502572,0.97719841,0.97057442,0.98234228,0.03224576,0.02066114,0.07194867,0.08682111
18,0.09812799,0.10763868,0.99256048,0.99399483,0.96872292,0.97915527,0.93934302,0.95916181,0.88037847,0.85303679,0.96312569,0.97494555,0.97438559,0.98340151,0.03159989,0.0204522,0.06652809,0.08718648
19,0.1136442,0.10590342,0.99241466,0.99407632,0.96793927,0.97973675,0.93787046,0.96027839,0.88058532,0.85639673,0.96068779,0.97669496,0.97530105,0.98279755,0.03224773,0.02110203,0.08139647,0.08480139
