epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.68190933,1.65062526,0.68656574,0.17105074,0.6841985,0.33635163,0.51998611,0.20217712,0.34334961,0.18542868,0.69987242,0.20686088,0.66921125,0.89928758,0.18361656,0.9446943,0.49829277,0.70593097
2,0.46366552,0.66837067,0.83598933,0.67678953,0.82440195,0.75485272,0.70126176,0.60623569,0.48787929,0.32280764,0.7968098,0.77641421,0.85397358,0.73445642,0.11965304,0.11561245,0.34401248,0.55275822
3,0.31950911,0.34964716,0.90551885,0.92003657,0.87390229,0.90420891,0.77604481,0.82516541,0.64484362,0.60423943,0.84416319,0.87787852,0.90581327,0.9321676,0.07977694,0.05210353,0.23973217,0.29754363
4,0.21518446,0.21117529,0.96638454,0.98347244,0.91196549,0.93975491,0.83817699,0.88635629,0.74808828,0.74606008,0.87987093,0.92838947,0.94649008,0.95140207,0.05669911,0.03331935,0.15848535,0.17785594
5,0.19586746,0.17779479,0.95864417,0.97928826,0.91404836,0.93085672,0.84170264,0.87065666,0.77262159,0.77986117,0.91748864,0.9168501,0.91063378,0.94529794,0.06112404,0.03067191,0.13474342,0.14712287
6,0.2127718,0.14399192,0.95575339,0.98810334,0.90285061,0.95446862,0.82290582,0.91290289,0.76122206,0.81134053,0.88126416,0.95421353,0.92552114,0.95472384,0.07088546,0.02645906,0.14188634,0.11753286
7,0.17706834,0.15674619,0.97434616,0.98918326,0.92163018,0.953037,0.8546513,0.91028719,0.79499659,0.79863972,0.92850005,0.97005578,0.91486121,0.93660508,0.0490372,0.02725251,0.12803115,0.12949368
8,0.16256052,0.13985345,0.97116049,0.99008025,0.93038214,0.96085088,0.86982668,0.92465158,0.80512973,0.81563811,0.90992582,0.95752562,0.95177939,0.96419931,0.04796123,0.02496453,0.11459928,0.11488892
9,0.18935925,0.17433852,0.95468612,0.98996497,0.91668552,0.93321499,0.84618597,0.87479199,0.78789421,0.78833019,0.89790187,0.88157001,0.93627185,0.99128755,0.05686026,0.03135953,0.132499,0.14297899
10,0.18130678,0.14864521,0.97169621,0.98749495,0.92480918,0.94423228,0.86013493,0.89435609,0.79910196,0.80369017,0.92846148,0.92036862,0.9211855,0.96936639,0.0541137,0.0263402,0.12719309,0.12230501
11,0.15504917,0.13180598,0.97559862,0.99128332,0.93627937,0.96510599,0.88019292,0.93256506,0.8179215,0.82558576,0.9208345,0.95214947,0.95225118,0.97842,0.04717555,0.02388267,0.10787361,0.10792331
12,0.14177833,0.13067774,0.97915919,0.99094105,0.93653199,0.96052848,0.88063956,0.92405465,0.82616397,0.82787865,0.94174572,0.95027196,0.93137568,0.97100883,0.04902817,0.02521871,0.09275016,0.10545902
13,0.14884197,0.12652181,0.97680993,0.98980141,0.93816555,0.96541458,0.88353279,0.9331415,0.82426962,0.82796375,0.93877281,0.96501655,0.93755908,0.96581294,0.04677002,0.02428328,0.10207195,0.10223852
14,0.13951459,0.12527352,0.979112,0.99203654,0.93674619,0.96657288,0.88101842,0.93530822,0.8340466,0.83150674,0.92548934,0.95428449,0.94828026,0.97918187,0.04553958,0.02218425,0.09397501,0.10308927
15,0.1375319,0.12490981,0.97852861,0.99175282,0.94535248,0.96588832,0.89636818,0.93402708,0.84008547,0.83168723,0.93712998,0.96906183,0.95372055,0.96273552,0.04209555,0.02430334,0.09543635,0.10060646
16,0.11334456,0.1201875,0.98985856,0.99238157,0.95589145,0.96722602,0.91550965,0.93653213,0.86063148,0.83918725,0.94258893,0.95612568,0.96957481,0.97858713,0.03680436,0.02270261,0.0765402,0.09748489
17,0.13122289,0.12032262,0.98318703,0.99236635,0.94449372,0.9707484,0.8948253,0.94315948,0.84034668,0.83863606,0.94877806,0.97883502,0.9402479,0.9627943,0.04243542,0.02416742,0.08878747,0.09615519
18,0.11312607,0.11878661,0.98913344,0.99198771,0.95602507,0.96558248,0.91575482,0.93345526,0.86085214,0.83964409,0.94160132,0.95040669,0.97089759,0.98125077,0.03594841,0.02200134,0.07717765,0.09678527
19,0.14103894,0.12031235,0.97914063,0.99259689,0.9424009,0.96992766,0.89107574,0.94161121,0.83936549,0.84219171,0.93773775,0.95986325,0.94711065,0.98020537,0.04715363,0.02315954,0.09388531,0.09715281
20,0.11564379,0.12061845,0.98908778,0.99149966,0.95682678,0.96786125,0.91722713,0.93772398,0.85809611,0.8383516,0.95104914,0.95641894,0.96267505,0.97958066,0.03587873,0.02289843,0.07976506,0.09772002
21,0.11937598,0.12011187,0.9873032,0.99185837,0.9532265,0.97033591,0.91063301,0.94238104,0.86026436,0.84487115,0.94379653,0.96725759,0.96284681,0.97343389,0.03918266,0.02543365,0.08019332,0.09467823
22,0.14491176,0.1208858,0.98118612,0.99108571,0.94328807,0.96084635,0.8926634,0.9246432,0.83810619,0.841563,0.93688893,0.94680296,0.94977521,0.97531261,0.04550218,0.02589258,0.09940958,0.09499321
23,0.13874904,0.12359242,0.98137646,0.99238714,0.93712833,0.97231338,0.88169471,0.94611856,0.83779803,0.83863104,0.92966879,0.98090872,0.94470854,0.96386736,0.04687558,0.02555974,0.09187346,0.09803269
24,0.1349863,0.11479023,0.98340169,0.99257833,0.94093171,0.95749087,0.88845234,0.91844842,0.84355238,0.84591305,0.93460002,0.9313239,0.94734977,0.98517074,0.04713516,0.0228749,0.08785114,0.09191533
25,0.14191285,0.1191271,0.9823363,0.99056249,0.93922391,0.96749636,0.88541203,0.93703917,0.82931911,0.83856699,0.94450615,0.95690764,0.93400042,0.97832203,0.04694339,0.02245229,0.09496946,0.09667481
26,0.14055533,0.1167087,0.98320643,0.9926277,0.94479995,0.97135858,0.89537519,0.94431214,0.8472223,0.8399119,0.93751545,0.96744442,0.95219853,0.97530454,0.04029081,0.02101144,0.10026452,0.09569725
27,0.12282409,0.11299471,0.98698932,0.99264514,0.95212676,0.959169,0.90862781,0.92154154,0.85829307,0.84889229,0.94542768,0.93393689,0.95892146,0.98580236,0.04076317,0.02280651,0.08206093,0.09018821
28,0.12944205,0.11294838,0.9851932,0.99272573,0.94567082,0.97150982,0.89694077,0.94459805,0.84751468,0.84886265,0.94462104,0.96157077,0.94672294,0.98165648,0.04169717,0.02263434,0.08774488,0.09031405
29,0.11750164,0.11024058,0.98797518,0.99342717,0.95138026,0.97683406,0.90726907,0.95471714,0.85743077,0.85129016,0.95598881,0.97593556,0.94681593,0.97773421,0.03949759,0.02181538,0.07800405,0.0884252
30,0.12530375,0.11065553,0.98594777,0.99323547,0.95322314,0.9710664,0.91062687,0.94376002,0.86062978,0.85071845,0.94948398,0.95758562,0.95699186,0.98493215,0.0418192,0.02151003,0.08348455,0.08914551
