epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.22740517,0.1977409,0.90663539,0.93593002,0.84608398,0.86956878,0.73322838,0.76923635,0.6974535,0.71026534,0.8325371,0.88181253,0.860079,0.85766038,0.06920969,0.04002408,0.15819548,0.15771682
2,0.20051264,0.19524365,0.91907587,0.93585368,0.86121817,0.87006068,0.75626266,0.77000654,0.71577819,0.71751063,0.84889447,0.8536675,0.87390497,0.88709578,0.06097368,0.03928041,0.13953896,0.15596324
3,0.20805543,0.19952119,0.91074711,0.93654778,0.84910079,0.8711221,0.73777164,0.77167079,0.7046143,0.7095755,0.83618918,0.87143948,0.8624174,0.87080496,0.06391418,0.03782002,0.14414125,0.16170117
4,0.22498819,0.2041523,0.89393957,0.93644553,0.84168574,0.86867456,0.72664714,0.76783791,0.69546849,0.70381021,0.8248825,0.89111168,0.8591878,0.84733957,0.06637473,0.03879852,0.15861346,0.16535378
5,0.23222382,0.20167517,0.90605701,0.9368572,0.84886484,0.87096387,0.73741545,0.7714225,0.69947585,0.70850409,0.84225917,0.88098117,0.85557495,0.86117182,0.06627695,0.03829804,0.16594686,0.16337712
6,0.21066669,0.2027264,0.91980929,0.93805608,0.85749647,0.87125441,0.75054164,0.77187847,0.71014832,0.70557348,0.84779823,0.89026498,0.86741917,0.85303877,0.05908424,0.03814729,0.15158244,0.16457912
7,0.19346995,0.20062865,0.92313928,0.93719861,0.86165357,0.87242472,0.75693439,0.77371749,0.71945441,0.71071426,0.8483828,0.87185297,0.87534611,0.87299722,0.05732116,0.0370999,0.13614879,0.16352875
8,0.2129216,0.2017187,0.90815652,0.93683047,0.85181196,0.86895215,0.74187496,0.76827179,0.70918726,0.71056813,0.82771046,0.83877771,0.87735914,0.90137862,0.06169095,0.03682158,0.15123065,0.16489713
9,0.19346191,0.19997979,0.91632891,0.93661446,0.85580417,0.8694708,0.74795253,0.769083,0.71600981,0.71391209,0.84617622,0.8439344,0.86565373,0.89660082,0.05966339,0.03710398,0.13379852,0.16287581
10,0.20686302,0.19578258,0.91691639,0.9385688,0.85405224,0.87331823,0.74528026,0.77512414,0.70925197,0.71703148,0.83994461,0.85723114,0.86864187,0.89002066,0.06167265,0.037015,0.14519037,0.15876758
11,0.18606203,0.19676065,0.92988029,0.93822258,0.86890719,0.87384665,0.76820149,0.77595706,0.73180808,0.71627446,0.85855289,0.86894462,0.87951428,0.87880429,0.05494004,0.03750235,0.13112199,0.1592583
12,0.2099152,0.19849537,0.91486478,0.93855258,0.8571584,0.87303403,0.75002381,0.77467647,0.71458359,0.71433682,0.84440418,0.85911182,0.87030383,0.8874149,0.06090794,0.03639418,0.14900726,0.16210119
