epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.53951743,0.68604301,0.65249605,0.27236082,0.49950918,0.28957796,0.33289719,0.16930205,0.31541138,0.19891657,0.72584495,0.30366833,0.38077458,0.27673721,0.1161256,0.13033699,0.42339183,0.55570602
2,0.39038481,0.53130785,0.83294254,0.73475994,0.76832385,0.60501485,0.62380346,0.43370702,0.4560662,0.31501559,0.77868398,0.86279084,0.75823577,0.46583681,0.08457676,0.07590983,0.30580805,0.45539802
3,0.31062398,0.43122126,0.85656748,0.87153599,0.77759623,0.63749275,0.63612061,0.4678821,0.54032789,0.42031131,0.76097088,0.93951576,0.79496425,0.48241304,0.0721646,0.05482724,0.23845938,0.37639402
4,0.26779485,0.2536986,0.87373581,0.9097609,0.80969828,0.83417827,0.68024624,0.71552815,0.61121137,0.64326046,0.8160073,0.79267265,0.80348606,0.88027067,0.07077135,0.04240773,0.1970235,0.21129087
5,0.27381976,0.23079667,0.86288118,0.92158723,0.79156628,0.85289524,0.65503492,0.74351991,0.61178152,0.66696332,0.75102873,0.86397918,0.83672962,0.84209207,0.07923055,0.03821695,0.1945892,0.19257971
6,0.2462236,0.25414529,0.87984852,0.91746596,0.81668539,0.83441604,0.69016759,0.71587812,0.64910922,0.62953204,0.8172792,0.89667364,0.81609244,0.78024246,0.06992905,0.03964215,0.17629455,0.21450314
7,0.24591081,0.22132831,0.87848738,0.9280584,0.81133089,0.8617678,0.68255403,0.75711072,0.64285138,0.67518481,0.81365147,0.86199984,0.80902351,0.86153589,0.07132275,0.03614028,0.17458806,0.18518803
8,0.22320613,0.22428026,0.90449536,0.93129006,0.8408611,0.86189268,0.72541875,0.75730352,0.67883935,0.66735834,0.83883937,0.89158652,0.84289259,0.83411297,0.06168943,0.03535991,0.1615167,0.18892035
9,0.34795982,0.48282853,0.78667409,0.88540167,0.78723294,0.61565795,0.6491213,0.44472965,0.61216765,0.46189382,0.73529868,0.44854945,0.84706098,0.98121128,0.09778966,0.15701717,0.25017015,0.32581136
10,0.26634997,0.28143763,0.86348296,0.8911172,0.80348791,0.77909805,0.6715251,0.63813319,0.62856253,0.62099792,0.7949185,0.66865577,0.81224409,0.93324224,0.07402022,0.05766438,0.19232976,0.22377325
11,0.23320411,0.23167098,0.89440896,0.92011377,0.82384213,0.84600039,0.700452,0.73310284,0.66441793,0.6736544,0.79036231,0.79319728,0.86028383,0.90633508,0.06917966,0.04181837,0.16402445,0.18985261
12,0.21476652,0.21601473,0.90406887,0.92849737,0.83898367,0.86028125,0.72262865,0.75481889,0.68880492,0.68576132,0.83598306,0.88108782,0.84200588,0.84043468,0.06528348,0.03920641,0.14948304,0.17680832
13,0.21967791,0.22149394,0.89993557,0.93059638,0.83637749,0.85887311,0.71877047,0.75265347,0.68377629,0.67567236,0.78619381,0.89347573,0.89340457,0.82685075,0.06584873,0.03864252,0.15382918,0.18285142
