epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.17300581,0.1364822,0.93605101,0.95253505,0.87244095,0.89977541,0.77374303,0.81781067,0.72323491,0.76578315,0.8797739,0.89517667,0.86522924,0.90442164,0.07281524,0.05118718,0.10019057,0.08529502
2,0.16818692,0.13733591,0.94007381,0.9524982,0.87703242,0.8992501,0.78099532,0.81694316,0.72984397,0.76318828,0.88342122,0.89620962,0.87073536,0.90231128,0.07013699,0.0510124,0.09804993,0.08632351
3,0.20976903,0.13812835,0.91015273,0.95078472,0.85205356,0.8978188,0.74224156,0.81458366,0.69621916,0.76389833,0.85128691,0.88948173,0.85282158,0.90631363,0.08573132,0.05196357,0.12403771,0.08616478
4,0.17603571,0.13832102,0.93298276,0.95083663,0.87373299,0.89724912,0.77577784,0.81364625,0.72664361,0.7639007,0.87887622,0.8977429,0.86864961,0.89675588,0.0721256,0.05220834,0.1039101,0.08611267
5,0.17417049,0.14017277,0.93667896,0.95252945,0.87006057,0.89489027,0.77000637,0.80977503,0.7204675,0.76070133,0.88211004,0.91165184,0.85833584,0.87873392,0.07276041,0.05307166,0.10141008,0.08710111
6,0.18479946,0.13591641,0.92551715,0.95308133,0.86493019,0.90035707,0.76200616,0.81877221,0.71309829,0.7645735,0.86129004,0.89232315,0.86860124,0.90853697,0.07691458,0.05059384,0.10788489,0.08532257
7,0.17756073,0.13672096,0.93094011,0.95327708,0.86967432,0.89902162,0.76940154,0.8165661,0.72052975,0.7645594,0.87013567,0.90073743,0.86921346,0.89731235,0.07422256,0.0512582,0.10333816,0.08546276
8,0.17123829,0.13804785,0.93818449,0.95329812,0.87702724,0.89812567,0.7809871,0.81508902,0.72822599,0.76121774,0.8816209,0.89976957,0.8724812,0.89648776,0.07047216,0.0510789,0.10076613,0.08696895
9,0.15869146,0.13640571,0.94403589,0.95303914,0.88232402,0.89960964,0.78942738,0.81753682,0.73833229,0.76539092,0.88656535,0.89583211,0.87812308,0.90341916,0.0670132,0.05123818,0.09167826,0.08516753
10,0.19132364,0.13778355,0.91881422,0.95336326,0.87024226,0.89778116,0.77029104,0.8145217,0.72133371,0.76449525,0.87265828,0.90529495,0.86783959,0.89039107,0.0773302,0.05187703,0.11399344,0.08590653
11,0.18899601,0.13569188,0.92560793,0.95324229,0.86613045,0.89939988,0.76387134,0.81719042,0.71508715,0.76998402,0.87115094,0.89943438,0.8611675,0.89936537,0.07805885,0.05194916,0.11093716,0.08374271
12,0.18890025,0.13587329,0.92903135,0.95341235,0.86206304,0.89949878,0.7575666,0.81735374,0.70892255,0.76766274,0.86251605,0.89659554,0.86161051,0.90242089,0.07869062,0.05142125,0.11020964,0.08445204
13,0.15314283,0.13976443,0.94697433,0.95294728,0.8884839,0.89531305,0.79934415,0.81046766,0.74748191,0.76021953,0.89030019,0.912709,0.88667499,0.87856782,0.06376922,0.05233168,0.08937362,0.08743274
14,0.1623145,0.13625024,0.94150107,0.95346376,0.8841704,0.89960902,0.79238838,0.8175358,0.74183142,0.76611922,0.88040487,0.89118338,0.88796829,0.9081955,0.06809837,0.05132675,0.09421613,0.08492349
15,0.16987877,0.13845824,0.93932139,0.95222508,0.87718302,0.89659739,0.7812342,0.81257502,0.72970925,0.76475405,0.87306042,0.90702542,0.88134475,0.88640643,0.071221,0.05273105,0.09865777,0.08572719
16,0.17166572,0.1371245,0.93677321,0.95268526,0.87046808,0.89851507,0.77064496,0.8157307,0.72410234,0.76714064,0.87032259,0.8846713,0.87061363,0.91279901,0.07330456,0.05244464,0.09836116,0.08467986
17,0.17681153,0.13546799,0.9298283,0.95313319,0.87147872,0.89962007,0.77223065,0.81755405,0.72296136,0.77046993,0.87561519,0.90246334,0.86738115,0.89679466,0.07436317,0.05219392,0.10244836,0.08327406
18,0.16359235,0.13583958,0.94096569,0.95313313,0.87739857,0.89906512,0.78157621,0.81663788,0.73312508,0.76757334,0.88140062,0.901319,0.8734327,0.89682249,0.06918944,0.05196156,0.09440291,0.08387802
19,0.16815639,0.13567574,0.93964759,0.95322239,0.87845354,0.89966571,0.78325202,0.81762943,0.73225343,0.76831062,0.87113077,0.89228022,0.88590045,0.90717447,0.06995525,0.05172575,0.09820113,0.08394998
20,0.16569202,0.13686444,0.94248273,0.95366033,0.87923825,0.89918657,0.78450059,0.8168383,0.73374756,0.76678812,0.87955106,0.879337,0.87892567,0.91995299,0.06932352,0.05203416,0.09636849,0.08483028
21,0.17082303,0.13558242,0.93774126,0.95326092,0.87611434,0.89952465,0.77954045,0.81739645,0.73070183,0.76968539,0.87333718,0.88891944,0.87890922,0.91038596,0.07054479,0.05216991,0.10027825,0.08341251
22,0.15902,0.13667924,0.94506426,0.95341748,0.88180017,0.89850932,0.78858907,0.81572121,0.73903203,0.76559214,0.88458459,0.90546643,0.87903321,0.8916583,0.06717429,0.05170759,0.09184571,0.08497165
23,0.14668561,0.13653069,0.95385278,0.95323078,0.89401438,0.89937058,0.80834178,0.81714205,0.75577314,0.76553597,0.89411209,0.89013965,0.8939167,0.90879497,0.06128532,0.05139003,0.08540029,0.08514066
24,0.16620501,0.13539377,0.94240306,0.95359759,0.87662931,0.89991933,0.78035622,0.81804848,0.73118911,0.7682992,0.88614267,0.8955757,0.86731804,0.90430529,0.06944386,0.05139489,0.09676115,0.08399889
25,0.1603513,0.13587139,0.94598973,0.95372723,0.88633787,0.89910265,0.79587682,0.8166998,0.74262353,0.76792373,0.88602465,0.90170297,0.88665131,0.89651727,0.06705733,0.0517529,0.09329397,0.08411849
26,0.16251315,0.13553157,0.94170258,0.95327803,0.88073597,0.90003081,0.78688848,0.81823274,0.73833849,0.77026345,0.88630291,0.88901775,0.87523853,0.91132015,0.06872992,0.05208394,0.09378324,0.08344764
27,0.1540221,0.13545426,0.94764358,0.95349317,0.88876507,0.89995766,0.79979943,0.81811185,0.7495968,0.76918349,0.8863547,0.89224227,0.89118858,0.90780766,0.06402492,0.051748,0.08999718,0.08370625
28,0.16479496,0.13679942,0.94248777,0.95338394,0.87887342,0.89891175,0.78391989,0.81638483,0.73600878,0.76639825,0.8785825,0.89383422,0.87916454,0.90404729,0.06950678,0.05187016,0.09528818,0.08492925
29,0.16823119,0.13482915,0.93869274,0.95364177,0.87828239,0.90053094,0.78297995,0.81905982,0.73518286,0.77126136,0.88040248,0.88689694,0.87617249,0.91459066,0.07125722,0.05194222,0.09697397,0.08288694
30,0.15359039,0.13569895,0.94999353,0.9537767,0.88891116,0.89989243,0.80003608,0.81800404,0.7493358,0.76941172,0.88510235,0.88410244,0.89275289,0.91625669,0.06483077,0.05191898,0.08875963,0.08377996
