epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.51651941,0.68246223,0.60834182,0.28145544,0.23315125,0.00521457,0.13195881,0.0026141,0.28504254,0.1429529,0.762825,0.26590038,0.13760447,0.0026331,0.17527897,0.22638454,0.34124043,0.45607771
2,0.35505388,0.48314246,0.82138344,0.71094043,0.76387566,0.53429903,0.61796021,0.36453481,0.45018518,0.32360453,0.80318039,0.90376965,0.72823831,0.3792554,0.12200614,0.16269675,0.23304774,0.32044569
3,0.26720175,0.29130823,0.86975222,0.88062433,0.8089204,0.79559322,0.6791489,0.66056853,0.57015146,0.56726719,0.8202148,0.73944127,0.79793282,0.86097417,0.09812674,0.11176436,0.16907501,0.17954386
4,0.24505127,0.22781327,0.88800408,0.92577412,0.82043748,0.83483897,0.69554386,0.71650093,0.61738264,0.6553865,0.80077523,0.75162383,0.84108959,0.93877424,0.09674386,0.08860916,0.14830742,0.13920411
5,0.23619702,0.17794378,0.88778616,0.93936403,0.81825035,0.87678696,0.69240583,0.78060611,0.63702801,0.6998567,0.84408626,0.8267597,0.79394904,0.93325846,0.09716272,0.06209293,0.1390343,0.11585084
6,0.2086193,0.20719108,0.90963753,0.93871317,0.84033338,0.82565906,0.72463359,0.70308292,0.66195823,0.65054016,0.84859824,0.94516478,0.83222796,0.73298158,0.08444411,0.07068098,0.12417519,0.1365101
7,0.23254108,0.14753291,0.89242437,0.9456782,0.82492832,0.89098986,0.70202383,0.80341002,0.65165378,0.74387336,0.83662273,0.88727771,0.81355633,0.8947332,0.09706964,0.05366205,0.13547144,0.09387087
8,0.19782602,0.14804148,0.91693668,0.94599811,0.85426234,0.89255371,0.7456003,0.80595665,0.68697353,0.74129128,0.83923471,0.88288867,0.86983797,0.90243269,0.0816513,0.05215497,0.11617472,0.0958865
9,0.25273158,0.15924997,0.87556352,0.93859878,0.79661235,0.87824339,0.66197485,0.78291795,0.62050442,0.73449163,0.82872935,0.90875301,0.76689184,0.84971582,0.10835278,0.06094759,0.1443788,0.09830238
10,0.22834946,0.15882977,0.89572674,0.94184065,0.82945547,0.88042236,0.70860651,0.78638794,0.65290289,0.72356378,0.82118467,0.90346611,0.83789457,0.85852487,0.09671,0.05480203,0.13163947,0.10402775
