epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.31467538,0.23968281,0.89803785,0.93619495,0.83423088,0.85829122,0.71560558,0.7517602,0.68347904,0.70893793,0.76905234,0.81131045,0.91148047,0.91104749,0.10662363,0.04975055,0.20805174,0.18993225
2,0.26847531,0.23560312,0.92067763,0.93683104,0.84966759,0.86220961,0.73862788,0.75779301,0.70401454,0.71040468,0.8003243,0.83581859,0.90549508,0.89032156,0.09027791,0.04849152,0.17819741,0.18711159
3,0.26326003,0.23850423,0.9292384,0.93485967,0.86210517,0.86104509,0.75763168,0.75599576,0.71960709,0.71087035,0.81825494,0.84389113,0.91092138,0.87891089,0.08311128,0.05084398,0.18014875,0.18766025
4,0.26510185,0.23467807,0.92541215,0.93674261,0.85703302,0.86265079,0.74983182,0.75847487,0.70915366,0.71040536,0.847281,0.85309734,0.86701214,0.87242064,0.08541044,0.04891765,0.17969141,0.18576043
5,0.25494712,0.24040294,0.92723977,0.93740324,0.86378978,0.86202099,0.76023764,0.75750166,0.71908161,0.70060969,0.86173895,0.87883487,0.86585039,0.84583839,0.07987175,0.04767298,0.17507537,0.19272995
6,0.2875023,0.23750857,0.91507677,0.93747953,0.84417364,0.86194309,0.73036372,0.75738135,0.69465608,0.70865387,0.83987685,0.83116761,0.84851462,0.89508523,0.09000994,0.0475795,0.19749236,0.18992907
7,0.28213704,0.23504659,0.91370461,0.93880119,0.84896861,0.86359716,0.73757207,0.75993928,0.69833259,0.71084242,0.83408486,0.83899126,0.86439319,0.88968994,0.08680094,0.04714514,0.1953361,0.18790145
8,0.25590626,0.24617018,0.93104365,0.9378834,0.86063743,0.85578977,0.75536748,0.74793053,0.71495563,0.69129291,0.86576035,0.89796686,0.85557478,0.81739701,0.0788423,0.04904634,0.17706395,0.19712384
9,0.25559889,0.23704888,0.92414618,0.93993241,0.86000084,0.86486254,0.75438726,0.76190116,0.71310227,0.70546859,0.84884198,0.8491595,0.87145701,0.8811573,0.08143026,0.0449721,0.17416863,0.19207679
10,0.27494358,0.23832222,0.92100322,0.93809589,0.85214279,0.86011984,0.742377,0.75457041,0.70361883,0.70035763,0.84587751,0.8776476,0.85850157,0.84327848,0.08605721,0.04733939,0.18888637,0.19098283
11,0.27787332,0.24022922,0.91631807,0.93866885,0.84794367,0.85958984,0.73602622,0.75375499,0.69780276,0.69769862,0.84412263,0.88541598,0.85179945,0.83522762,0.08637899,0.04747164,0.19149433,0.19275757
12,0.25659806,0.23655267,0.92805384,0.93906444,0.8578869,0.8638837,0.75114006,0.76038316,0.70975529,0.70557754,0.86080164,0.86053198,0.85499183,0.86726164,0.08069992,0.04584813,0.17589814,0.19070453
13,0.27730951,0.24069774,0.92702573,0.93842175,0.85668068,0.86091824,0.74929258,0.75580022,0.7083351,0.6987696,0.84644756,0.87972443,0.86716426,0.84289928,0.08323011,0.04710463,0.19407939,0.19359311
14,0.24659096,0.23622788,0.93242795,0.93978721,0.86728603,0.8644458,0.76567081,0.76125456,0.72442946,0.70800975,0.84421941,0.84666776,0.89164856,0.88298646,0.07699244,0.04596605,0.16959851,0.19026183
