epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.75739057,1.0066199,0.59075095,0.17495996,0.22439112,0.15892785,0.12637418,0.08632353,0.27967973,0.16127425,0.75081008,0.16247022,0.13190674,0.15553665,0.18120338,0.26608325,0.5761872,0.74053665
2,0.56160262,0.65463868,0.80453906,0.74244291,0.75414556,0.69217666,0.60532398,0.52925853,0.40351619,0.33038063,0.78025153,0.62299812,0.72972997,0.77863761,0.13130604,0.10994577,0.43029657,0.54469291
3,0.50344759,0.47714435,0.76791006,0.85553049,0.73571833,0.79629361,0.58192597,0.66153475,0.47894507,0.48087429,0.73588324,0.79224861,0.7355535,0.80038013,0.12335762,0.07492397,0.38008997,0.40222037
4,0.40114955,0.35445081,0.83516705,0.88864499,0.78349777,0.79824435,0.64405782,0.66423183,0.55735423,0.6150335,0.76240225,0.72332924,0.80579394,0.89047025,0.1105545,0.0821339,0.29059505,0.27231689
5,0.38643476,0.32782576,0.84354736,0.89478934,0.77691334,0.8008555,0.63520711,0.66785572,0.58312441,0.62922682,0.81516321,0.70741854,0.74209219,0.92273132,0.11589692,0.07101688,0.27053785,0.25680888
6,0.32693645,0.3065074,0.88228681,0.91986274,0.82414454,0.84185287,0.70088933,0.7268963,0.63653941,0.622005,0.80436352,0.86347134,0.84492301,0.82129047,0.09962672,0.04678893,0.22730973,0.25971846
7,0.3400628,0.31705976,0.86589213,0.91227631,0.81180719,0.81895495,0.6832285,0.6934155,0.63408032,0.61533691,0.81946099,0.89572871,0.80429505,0.75430292,0.10533269,0.0528819,0.23473012,0.26417786
8,0.32911418,0.29935729,0.88158206,0.91897324,0.81387855,0.83242463,0.68616798,0.71295151,0.63436854,0.6432169,0.78599876,0.77835978,0.8438089,0.8945608,0.0997544,0.05258567,0.22935977,0.24677162
9,0.38220571,0.28772385,0.83384174,0.91964395,0.78006487,0.84113992,0.63943143,0.72583389,0.59962093,0.6461362,0.77324603,0.85305712,0.78700503,0.8295511,0.11852031,0.04808013,0.26368541,0.23964372
10,0.3343251,0.31418608,0.87401188,0.91600111,0.81987712,0.82403608,0.69473878,0.70073246,0.64115342,0.62583954,0.82672717,0.74249614,0.81313966,0.92569464,0.10056641,0.05386377,0.23375868,0.2603223
11,0.33676449,0.35267845,0.8661171,0.91856408,0.81271946,0.80877148,0.68452184,0.67893898,0.63701121,0.60837091,0.78352293,0.71338675,0.84417612,0.93360027,0.10460051,0.07353513,0.23216398,0.27914333
12,0.3060817,0.26353499,0.89212476,0.92289106,0.82038464,0.85346599,0.69546792,0.74438785,0.65398037,0.67983594,0.84427425,0.84312118,0.79780979,0.8640678,0.10316814,0.05035538,0.20291356,0.21317961
13,0.32415317,0.30866193,0.88438594,0.92131494,0.82306443,0.81333534,0.69932837,0.68539611,0.65675393,0.62767861,0.82344952,0.9247043,0.8226797,0.72590879,0.10193504,0.0581073,0.22221813,0.25055463
14,0.2956187,0.27238428,0.89614107,0.92356369,0.83672663,0.84810824,0.71928633,0.73627425,0.67263652,0.67010398,0.8068664,0.82828457,0.86888191,0.86890408,0.09379952,0.04827635,0.20181918,0.22410792
15,0.30590678,0.2686879,0.88906721,0.92760438,0.82225316,0.84381191,0.69815781,0.72982235,0.66295283,0.68028691,0.82910057,0.78774756,0.81551793,0.90846799,0.09810984,0.0516593,0.20779693,0.2170286
16,0.26435084,0.26109681,0.91779353,0.92796219,0.85193393,0.85337244,0.74206002,0.74424554,0.69960977,0.68375443,0.81226573,0.83843782,0.89567557,0.86884876,0.08508098,0.04770153,0.17926986,0.21339527
17,0.30070981,0.26624763,0.89391923,0.92840767,0.82741424,0.8458486,0.70563217,0.73287491,0.66440198,0.6748465,0.8342938,0.8907839,0.82064721,0.80522908,0.09562354,0.05016421,0.20508628,0.21608341
18,0.26402953,0.2586941,0.91839769,0.92913576,0.85321964,0.85173989,0.74401313,0.74176563,0.69667448,0.68362794,0.85458197,0.86803553,0.85186165,0.83604481,0.08163819,0.04814802,0.18239134,0.21054608
19,0.34653309,0.39615231,0.8763825,0.91620331,0.81604797,0.77469434,0.68925763,0.63224579,0.65076688,0.58518709,0.80405755,0.64794094,0.82840142,0.96310089,0.11359825,0.0960605,0.23293485,0.30009181
20,0.30509171,0.2690997,0.89897069,0.92455635,0.82555944,0.84563709,0.70293847,0.73255741,0.66022795,0.66590267,0.84091331,0.87786559,0.8107562,0.81569117,0.09545515,0.04762892,0.20963656,0.22147078
21,0.32501361,0.25822724,0.89187134,0.92284694,0.824493,0.85182462,0.70139353,0.74189416,0.65997355,0.68550257,0.82307538,0.85051207,0.82591552,0.85314122,0.10251317,0.05120396,0.22250045,0.20702327
22,0.32439292,0.3317881,0.88741831,0.92052316,0.81479299,0.80379404,0.68746892,0.67195288,0.64823829,0.62247137,0.79310955,0.70200217,0.83769539,0.94011242,0.10331898,0.06523667,0.22107395,0.26655144
23,0.31361481,0.30800078,0.89492192,0.91819947,0.82522544,0.81114877,0.70245431,0.68229628,0.65969501,0.63653571,0.82633754,0.91633076,0.82411634,0.72762731,0.10151919,0.06102719,0.21209562,0.2469736
24,0.30777159,0.2685969,0.89656685,0.92567876,0.82541868,0.83683519,0.70273438,0.7194468,0.66573345,0.67793593,0.81296306,0.76947163,0.83826191,0.91712511,0.10080821,0.0526187,0.20696338,0.21597821
25,0.28837256,0.28802445,0.90859596,0.92770995,0.83491925,0.82803627,0.71661921,0.70653745,0.67651295,0.66371815,0.8403206,0.74108657,0.82958688,0.93810115,0.09556729,0.05751281,0.19280528,0.23051164
26,0.30468159,0.3657643,0.89920311,0.91789237,0.83592138,0.7622203,0.71809702,0.61579642,0.68071147,0.57522398,0.82192285,0.94830085,0.85040501,0.63718795,0.09761121,0.07166702,0.20707038,0.29409728
27,0.33784166,0.24938577,0.87224289,0.92943437,0.81234888,0.85636616,0.68399622,0.74881149,0.64489747,0.69397878,0.7845689,0.83880056,0.84216834,0.87468318,0.1091333,0.04881825,0.22870835,0.20056752
28,0.29809461,0.25156531,0.90263403,0.92613857,0.82823317,0.85016245,0.70682422,0.73937614,0.66640685,0.69255398,0.8582932,0.80679627,0.80020748,0.89845541,0.09511394,0.05000695,0.20298067,0.20155837
29,0.30516531,0.24427532,0.90136389,0.93445967,0.83356387,0.85914973,0.71462454,0.75307843,0.67068163,0.69359165,0.82073495,0.87427321,0.84680023,0.84454057,0.09505686,0.04688431,0.21010845,0.19739101
30,0.30102797,0.24210655,0.89739098,0.93428382,0.83500769,0.86126252,0.71674953,0.75633105,0.67845955,0.70082473,0.82394383,0.86402691,0.84637272,0.85851576,0.09863333,0.04829879,0.20239464,0.19380776
31,0.26497256,0.25560077,0.92068664,0.93300291,0.84799237,0.85683763,0.73609962,0.74953275,0.69617424,0.68727977,0.85730265,0.82112633,0.83888215,0.89579638,0.08466811,0.04686575,0.18030445,0.20873503
32,0.24894469,0.2446282,0.92788152,0.9349172,0.86213778,0.86216566,0.75768205,0.75772512,0.71420035,0.69669258,0.83290406,0.86768452,0.89349826,0.85671656,0.08002842,0.04664879,0.16891627,0.19797942
33,0.2618659,0.24004237,0.92510029,0.93501205,0.8546324,0.86221738,0.74616428,0.75780502,0.7086355,0.7020115,0.85950866,0.86565576,0.84981114,0.85880621,0.08610235,0.04776816,0.17576356,0.19227422
34,0.28031058,0.25974185,0.91623901,0.93486754,0.84922162,0.84732953,0.7379541,0.73510127,0.6943497,0.67776408,0.84147153,0.90790848,0.85711579,0.79432901,0.08509249,0.05198037,0.19521809,0.20776148
35,0.25295516,0.24473326,0.93002773,0.93727473,0.86130201,0.85931291,0.75639197,0.75332921,0.71554332,0.69408426,0.85859115,0.88910472,0.86403004,0.83145288,0.08018733,0.04791332,0.17276783,0.19681993
36,0.27925825,0.25393902,0.91962225,0.93639515,0.85247668,0.85037892,0.74288396,0.73970365,0.70441425,0.68399865,0.85558571,0.90521064,0.84939015,0.80181049,0.08643578,0.05209635,0.19282246,0.20184267
37,0.25931746,0.25721897,0.93185492,0.9364585,0.86270189,0.85016108,0.75855388,0.73937407,0.71762049,0.6792692,0.86026789,0.90709434,0.86514971,0.79995251,0.07960482,0.0497581,0.17971264,0.20746087
38,0.27854173,0.25703806,0.91162811,0.93526434,0.84651381,0.84807799,0.73387424,0.73622865,0.69635435,0.68111836,0.83970422,0.9059835,0.85343473,0.79712981,0.0904199,0.05202504,0.18812183,0.20501302
39,0.30774385,0.30000911,0.89525788,0.92860851,0.83553944,0.82473883,0.71753348,0.70174941,0.67434843,0.66760597,0.80163216,0.73009547,0.8724418,0.94757431,0.09905768,0.07069508,0.20868616,0.22931403
40,0.27495864,0.28768952,0.91370239,0.92881764,0.8476119,0.83192324,0.73552642,0.71221624,0.69223676,0.65229312,0.85181448,0.91860938,0.84345058,0.7601869,0.08810437,0.06096803,0.18685428,0.22672149
41,0.28578735,0.24247796,0.91513923,0.93425689,0.84365941,0.86027289,0.72959422,0.75480603,0.68589648,0.7018999,0.8318195,0.8693078,0.85584124,0.85142386,0.0885741,0.05028449,0.19721326,0.19219346
42,0.29171597,0.23576556,0.90560179,0.93447191,0.83634215,0.86300139,0.71871826,0.75901711,0.68213494,0.70847536,0.84955512,0.86182639,0.82353388,0.8641796,0.10026124,0.05169336,0.19145474,0.1840722
43,0.30383667,0.29046272,0.89307202,0.93092184,0.83561941,0.83308288,0.71765144,0.71391777,0.67619125,0.66979055,0.79518108,0.74504421,0.88039102,0.94471588,0.0982919,0.06533102,0.20554478,0.2251317
