epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.20691939,0.19062886,0.90570214,0.93887308,0.85129688,0.87553146,0.74109391,0.77861801,0.7153504,0.72171498,0.83599323,0.85257003,0.86717127,0.89976392,0.0667106,0.03672221,0.1402088,0.15390664
2,0.1993562,0.19021191,0.92151207,0.93854774,0.85820535,0.87569,0.75162845,0.77886882,0.72268372,0.72289497,0.83917005,0.85320823,0.87812426,0.89938862,0.06267578,0.03668365,0.13668041,0.15352826
3,0.17021861,0.19251779,0.93525268,0.93830313,0.87726984,0.87491518,0.78137193,0.77764376,0.74904341,0.72078985,0.85341497,0.84884034,0.90249665,0.90264274,0.05245174,0.03615325,0.11776687,0.15636453
4,0.18794792,0.19471509,0.92182627,0.93849315,0.86560753,0.8728553,0.76305825,0.77439508,0.73318255,0.71923573,0.844283,0.83655493,0.88803719,0.91244892,0.05792406,0.03613076,0.13002386,0.15858433
5,0.20628119,0.19323588,0.90551668,0.9390556,0.85818522,0.87739692,0.75159757,0.7815736,0.72015513,0.71898943,0.84139052,0.86078201,0.87566404,0.89466587,0.06107251,0.03534916,0.14520868,0.15788671
6,0.21453375,0.19518946,0.90778883,0.93795252,0.85801902,0.87408664,0.75134265,0.77633562,0.71833839,0.71840161,0.84121303,0.84302287,0.8755102,0.90752729,0.0612084,0.03561958,0.15332534,0.15956989
7,0.17962103,0.19628447,0.93786924,0.93967846,0.87664812,0.8775073,0.78038604,0.78174877,0.73973016,0.71401748,0.86884744,0.87170685,0.88459015,0.88338545,0.05134943,0.03521107,0.1282716,0.1610734
8,0.19005462,0.19382001,0.92673469,0.94117762,0.86607396,0.87740623,0.76378346,0.78158836,0.73051868,0.72049275,0.85036933,0.8506134,0.88236956,0.9059418,0.05738991,0.03513985,0.13266471,0.15868016
9,0.20814441,0.20182739,0.913987,0.93893571,0.85996697,0.86490732,0.75433513,0.76197066,0.72438256,0.71284603,0.82650883,0.80798162,0.89624825,0.93046231,0.05962947,0.03669488,0.14851494,0.16513251
10,0.18338177,0.20104743,0.92300681,0.93718539,0.86201054,0.86482476,0.75748553,0.76184251,0.73005514,0.71418278,0.84023004,0.80930858,0.8849503,0.92851838,0.05648454,0.03690133,0.12689723,0.16414611
11,0.18850399,0.19496702,0.9237126,0.93709439,0.86305631,0.8694425,0.75910207,0.76903872,0.72777876,0.7226156,0.84882912,0.82195104,0.87776855,0.9227585,0.0574161,0.03730884,0.13108788,0.15765818
12,0.17397747,0.19241456,0.93411064,0.93861516,0.87669848,0.87650907,0.78046586,0.78016568,0.74729517,0.72276062,0.85781824,0.84797866,0.89642852,0.90702613,0.05214832,0.03557938,0.12182915,0.15683518
