epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.54497018,0.69505174,0.62451889,0.38992489,0.13542886,8.761e-05,0.07263271,4.381e-05,0.30227444,0.19140015,0.79539153,0.10483871,0.07401564,4.382e-05,0.10743013,0.13193709,0.43754004,0.56311466
2,0.38405833,0.49366019,0.8265279,0.77855276,0.77300069,0.63290243,0.62999276,0.46295338,0.44851847,0.34296964,0.82642374,0.87614024,0.72606518,0.49537445,0.07319868,0.06443586,0.31085965,0.42922432
3,0.31201861,0.30159138,0.82750021,0.88462733,0.78185696,0.82129603,0.6418433,0.69677888,0.53419918,0.56233739,0.76863897,0.78057175,0.79553751,0.86650359,0.06902161,0.04090962,0.24299699,0.26068175
4,0.25792212,0.36796699,0.85352686,0.89008514,0.82065357,0.6945448,0.69585454,0.53203265,0.62727378,0.52893381,0.80829158,0.54189382,0.83339956,0.96692732,0.06921183,0.08457698,0.18871028,0.28339002
5,0.26855699,0.25501116,0.85296176,0.89384758,0.78757086,0.81323296,0.64958093,0.68525071,0.61779563,0.6528515,0.75283231,0.72781377,0.82567043,0.92136853,0.0798672,0.0520971,0.18868979,0.20291406
6,0.22933418,0.26865169,0.88342302,0.90824887,0.83317568,0.81277342,0.71405409,0.6845984,0.67218396,0.62960229,0.82276704,0.71822576,0.84385105,0.93598734,0.06525013,0.04830112,0.16408405,0.22035057
7,0.21554717,0.25534198,0.88723894,0.91084432,0.83793999,0.83135714,0.72108151,0.71138683,0.68367071,0.64168624,0.81195382,0.77619953,0.86564449,0.89495353,0.06321619,0.04082805,0.15233098,0.21451394
8,0.21140949,0.22673098,0.89362728,0.92710353,0.84632022,0.85473661,0.7335833,0.74632317,0.69539289,0.67202893,0.84148897,0.87819941,0.85120726,0.8324949,0.06098464,0.03793466,0.15042485,0.18879632
9,0.30540639,0.31073605,0.81057059,0.89153708,0.81241371,0.79257698,0.68408815,0.6564203,0.64901336,0.56472483,0.75656177,0.88728245,0.8771693,0.71613879,0.08067212,0.04364557,0.22473427,0.26709048
10,0.26167092,0.32601505,0.87289072,0.90434182,0.80437508,0.73840779,0.6727654,0.58529831,0.63688763,0.56778489,0.80172483,0.59996109,0.8070429,0.95991793,0.07526897,0.06825326,0.18640194,0.2577618
11,0.21768345,0.25734078,0.89728624,0.90691443,0.83707858,0.80493314,0.71980666,0.67354653,0.68670893,0.65698696,0.79494008,0.69900196,0.88393455,0.94870605,0.0654522,0.05575637,0.15223124,0.2015844
12,0.20887779,0.20683277,0.89752155,0.92461766,0.84409938,0.86147,0.73025255,0.75665112,0.70084134,0.70550322,0.81856463,0.83007971,0.87127852,0.89532771,0.06449796,0.03904561,0.14437983,0.16778716
13,0.21541503,0.2537461,0.89694723,0.91876058,0.83852746,0.82418092,0.72195203,0.70094195,0.69237546,0.64808875,0.79388184,0.73747489,0.88849378,0.93399172,0.06626905,0.0451399,0.14914598,0.2086062
14,0.18828455,0.21262622,0.91876006,0.92606229,0.86423467,0.86277599,0.76092715,0.75866847,0.72424706,0.69419079,0.85610346,0.83799055,0.87252182,0.8890723,0.05667038,0.03715257,0.13161417,0.17547365
15,0.20335964,0.21660193,0.90942151,0.92818271,0.85476212,0.85536276,0.74636208,0.74727846,0.71554137,0.69324559,0.83351996,0.80104746,0.87711531,0.91757955,0.06139322,0.03797259,0.14196642,0.17862934
16,0.19578074,0.20764503,0.92458006,0.93233112,0.87017232,0.86179025,0.77018145,0.75714537,0.7385555,0.70247309,0.83942583,0.81923178,0.90325682,0.90901276,0.0542576,0.03688684,0.14152314,0.17075818
17,0.199756,0.21038786,0.9154713,0.93295606,0.86509964,0.85704423,0.76226925,0.74984899,0.72978114,0.70195841,0.8360478,0.80271063,0.89624323,0.91926728,0.05848029,0.03816543,0.1412757,0.17222243
18,0.16579736,0.2089774,0.93653702,0.93363524,0.87919831,0.86038246,0.784437,0.75497474,0.74836506,0.70299676,0.85844902,0.80871261,0.90097551,0.91910548,0.04966094,0.03721864,0.11613642,0.17175876
19,0.18304338,0.19483476,0.9291218,0.93798621,0.86647753,0.87266302,0.76441143,0.77409242,0.73473674,0.71540288,0.83464791,0.84636154,0.90083108,0.90065161,0.05697923,0.03613377,0.12606414,0.15870098
20,0.21625603,0.23218955,0.9054242,0.92405833,0.83865608,0.82849512,0.72214274,0.70720586,0.69455599,0.67941049,0.79552901,0.73696954,0.88672717,0.9459778,0.06847305,0.04572792,0.14778297,0.18646163
21,0.20032444,0.20615043,0.91034049,0.93447823,0.85083373,0.86297332,0.74039219,0.75897368,0.71095738,0.70705538,0.84218411,0.82029855,0.85966287,0.91033194,0.064169,0.03801876,0.13615544,0.16813168
22,0.17626594,0.19741249,0.9245674,0.93566769,0.87047929,0.87285929,0.77066254,0.77440136,0.73823544,0.71122636,0.84148417,0.86581409,0.9015439,0.88002009,0.05462762,0.03650257,0.12163832,0.16090992
23,0.19715815,0.21946444,0.91645888,0.93426104,0.85051236,0.86711427,0.73990562,0.76540312,0.70952375,0.67299989,0.82645118,0.86183794,0.87601659,0.87245561,0.06000776,0.03354616,0.13715039,0.18591828
24,0.19482118,0.21833827,0.91301166,0.93624622,0.86410838,0.85512785,0.76073136,0.74691995,0.7316944,0.69633465,0.82741865,0.79185016,0.90420291,0.92939708,0.06165843,0.04302183,0.13316275,0.17531644
25,0.20575295,0.21960873,0.91050553,0.92391633,0.84851873,0.85908444,0.73689322,0.75297811,0.70073942,0.6890469,0.85285585,0.82660961,0.84422551,0.89421529,0.06422337,0.03721311,0.14152958,0.18239562
26,0.2062809,0.2130345,0.90900956,0.93070229,0.85339939,0.84332178,0.74428653,0.72908936,0.71274197,0.70129481,0.83481936,0.76140698,0.8728253,0.94498674,0.06349448,0.04025239,0.14278641,0.17278211
27,0.18906764,0.22325048,0.9236296,0.92686698,0.86093847,0.8436591,0.75583139,0.72959376,0.72486806,0.69174677,0.83581498,0.76776601,0.88761912,0.93620196,0.05708557,0.04263416,0.13198208,0.18061632
28,0.21047187,0.20963314,0.90653758,0.9314971,0.85702395,0.86717322,0.74981795,0.76549498,0.71694131,0.70223127,0.82578699,0.82985302,0.89071701,0.90800821,0.06212895,0.03663108,0.14834292,0.17300206
29,0.18769762,0.20624536,0.92628041,0.9372333,0.86479807,0.8759485,0.76180109,0.7792779,0.7271554,0.70404223,0.8586303,0.87335757,0.87105509,0.87855484,0.05644639,0.03537915,0.13125123,0.17086621
