epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.19668933,0.1413413,0.90096159,0.94227815,0.84027696,0.88392937,0.72454968,0.79200128,0.68544543,0.74935738,0.81954384,0.83848459,0.86208632,0.93458253,0.07858787,0.04861727,0.11810146,0.09272403
2,0.19502993,0.13377073,0.90313694,0.9414773,0.842079,0.89020886,0.72723355,0.8021409,0.68544496,0.75715028,0.83121342,0.87166697,0.85323241,0.90955674,0.07637727,0.04492895,0.11865267,0.08884178
3,0.18129483,0.1373765,0.90699024,0.94012518,0.8583219,0.89020367,0.75180727,0.80213247,0.70606995,0.75060467,0.84433894,0.86895085,0.8727758,0.91252216,0.07033741,0.04505828,0.11095742,0.09231821
4,0.18120879,0.13632655,0.91467584,0.94000924,0.85323809,0.89090696,0.74404118,0.80327522,0.70151074,0.75498777,0.84601079,0.87277675,0.86058993,0.90980638,0.07120302,0.04565122,0.11000577,0.09067532
5,0.17783736,0.13745826,0.91768402,0.94111356,0.85477232,0.89107997,0.74637763,0.80355657,0.70564011,0.75107926,0.8501957,0.87262512,0.85939848,0.91033228,0.0702049,0.04528249,0.10763246,0.09217577
6,0.18953531,0.13729051,0.90528666,0.94133876,0.84393739,0.89146576,0.7300101,0.80418423,0.69077519,0.75012095,0.83817348,0.87514423,0.84978111,0.90840764,0.07652258,0.04456023,0.11301272,0.09273028
7,0.18026324,0.13693447,0.91588976,0.94067429,0.8546256,0.89009673,0.74615393,0.80195884,0.70334608,0.75200496,0.86065555,0.89101113,0.84867956,0.88918422,0.06998239,0.0450626,0.11028085,0.09187187
8,0.20068777,0.13648386,0.89899724,0.94055666,0.83882087,0.89003992,0.72238714,0.80186661,0.68013298,0.75378426,0.84919747,0.87363801,0.8286948,0.90706949,0.0786014,0.04567624,0.12208637,0.09080762
9,0.16511196,0.13465466,0.92332136,0.94286391,0.86629658,0.89141222,0.76412981,0.8040971,0.7196609,0.75480299,0.85444325,0.88508381,0.87848341,0.89783178,0.06427821,0.04418711,0.10083374,0.09046755
10,0.19048849,0.13393215,0.90321912,0.94307614,0.84952359,0.89166395,0.73841026,0.80450685,0.69595481,0.75766383,0.84187637,0.87974403,0.85731101,0.90391132,0.07361093,0.04475823,0.11687755,0.08917392
11,0.17054536,0.13382712,0.91980123,0.94296355,0.86207593,0.89065413,0.75758651,0.80286424,0.71727634,0.75656773,0.85800111,0.89049683,0.86618963,0.89081149,0.06554462,0.04461503,0.10500073,0.08921209
12,0.18295371,0.13501197,0.91210575,0.94302266,0.85046012,0.89115699,0.73982655,0.80368184,0.69998288,0.75524954,0.84979699,0.87059646,0.85112429,0.91271215,0.07438434,0.04488818,0.10856936,0.09012379
