epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.52286596,0.75801297,0.56128871,0.3050808,0.01426355,0.0890931,0.007183,0.04662346,0.25832538,0.08835771,0.40753465,0.26691621,0.0072588,0.0534704,0.16108111,0.25070447,0.36178486,0.5073085
2,0.41691938,0.55110415,0.7295213,0.64903619,0.66120257,0.13717403,0.49387798,0.0736376,0.35652168,0.20383218,0.75366438,0.97149761,0.58894859,0.07379703,0.12562381,0.14214238,0.29129557,0.40896177
3,0.29983559,0.30778625,0.84077053,0.85370162,0.78825922,0.77149784,0.65051803,0.62799877,0.49301617,0.51787159,0.8203468,0.69868733,0.75858735,0.86124899,0.09321478,0.09793602,0.2066208,0.20985023
4,0.25751481,0.39535998,0.85588624,0.8800104,0.80354348,0.71802006,0.67160274,0.56008682,0.57462374,0.52869351,0.78515656,0.56869809,0.82281223,0.97367643,0.08886147,0.19514945,0.16865334,0.20021053
5,0.25269148,0.20444429,0.85267531,0.91822742,0.7930913,0.83269662,0.65712618,0.71335065,0.60263238,0.67178644,0.78735277,0.74836675,0.7989141,0.93844557,0.0960779,0.07610746,0.15661359,0.12833683
6,0.2248127,0.22564486,0.88352473,0.9117642,0.81557439,0.79194632,0.6885822,0.65555558,0.62430124,0.6160517,0.81029723,0.93811715,0.82092074,0.68518553,0.08395031,0.07108199,0.14086238,0.15456287
7,0.24051369,0.17063345,0.86128219,0.91825635,0.80570597,0.86202738,0.67462949,0.75751153,0.62714092,0.68905752,0.81849065,0.88257908,0.79331455,0.84241104,0.09236759,0.05357692,0.14814609,0.11705653
8,0.21623717,0.16144181,0.88609451,0.92667823,0.82688416,0.8763357,0.70486147,0.77989102,0.64957438,0.70600672,0.79642372,0.86295076,0.85976727,0.89014241,0.08328036,0.04962747,0.13295681,0.11181434
9,0.2614157,0.21235332,0.84514102,0.90522112,0.77864122,0.82380617,0.63752046,0.70040001,0.59801167,0.66359985,0.80142378,0.91756767,0.75711815,0.74743015,0.10462941,0.07930419,0.15678629,0.13304913
10,0.21866469,0.20634043,0.88119836,0.89496587,0.8235719,0.82581669,0.7000614,0.70331155,0.64358995,0.64870777,0.80569434,0.89062953,0.84226083,0.76979705,0.08350563,0.06745663,0.13515905,0.1388838
11,0.22566148,0.16710338,0.87452329,0.922558,0.81576757,0.87184633,0.68885765,0.77280814,0.64441989,0.71030109,0.82003766,0.89349494,0.81154172,0.85122197,0.09190111,0.05300804,0.13376037,0.11409534
12,0.23274879,0.24011661,0.8727556,0.90720931,0.80946921,0.81368166,0.67992295,0.68588812,0.63040988,0.62394073,0.79826561,0.7110965,0.82099177,0.95085521,0.09012195,0.0879825,0.14262685,0.15213411
13,0.20755995,0.16475858,0.88962718,0.92253821,0.82813993,0.86650336,0.70668841,0.76445164,0.66456585,0.70847512,0.8236008,0.81574077,0.83272937,0.92400299,0.08262767,0.05516799,0.12493227,0.1095906
14,0.20190188,0.17808026,0.88780273,0.9185205,0.83335112,0.84830022,0.71431185,0.73656368,0.67284649,0.69125768,0.8336403,0.90383218,0.83306215,0.7991971,0.07982188,0.05994076,0.12208,0.1181395
15,0.19739521,0.15164395,0.89895233,0.93136856,0.83783976,0.8758556,0.72093307,0.77913087,0.67819727,0.72879022,0.82368254,0.85846527,0.85249214,0.89396506,0.07857429,0.05048489,0.11882093,0.10115907
16,0.22951789,0.15469106,0.87182604,0.92819344,0.81725523,0.87327413,0.6909819,0.77505466,0.64872367,0.72345405,0.80786685,0.87070215,0.82686439,0.87586136,0.08906173,0.05102756,0.14045616,0.1036635
17,0.19718459,0.15679754,0.89480757,0.92640459,0.84308761,0.87287478,0.72873938,0.77442574,0.6814029,0.71747506,0.83848686,0.85840432,0.84773913,0.88784147,0.07539369,0.05091508,0.1217909,0.10588245
18,0.19740752,0.15591993,0.9055271,0.92815363,0.84059778,0.86990632,0.72502689,0.76976479,0.6785675,0.72414986,0.84881029,0.89048292,0.83254267,0.85025919,0.07474046,0.05158753,0.12266706,0.1043324
19,0.19904769,0.18663399,0.89834793,0.91722529,0.83869178,0.84346757,0.72219567,0.72930732,0.68130695,0.69313943,0.82154322,0.77626007,0.8565715,0.92341559,0.08103901,0.06976869,0.11800868,0.1168653
