epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.28747208,0.25282145,0.90928433,0.932635,0.84277045,0.8602957,0.72826558,0.75484115,0.68466788,0.6899417,0.84002713,0.85510478,0.84553174,0.86555003,0.09082117,0.04751032,0.19665091,0.20531114
2,0.29256819,0.25781421,0.90676622,0.93318549,0.83979444,0.85871715,0.72383245,0.75241397,0.68275461,0.68275464,0.83734299,0.87196722,0.84226029,0.84586375,0.09192717,0.04716275,0.20064102,0.21065146
3,0.25862436,0.26333756,0.92428454,0.93264955,0.85699601,0.85543866,0.74977517,0.74739434,0.70383594,0.67512251,0.85089777,0.88381951,0.8631823,0.82882381,0.08238559,0.04755705,0.17623878,0.21578051
4,0.26072527,0.25408141,0.92179967,0.93439026,0.8565015,0.86038148,0.74901847,0.75497323,0.70429908,0.68760424,0.83239649,0.85421568,0.88204424,0.86663693,0.0829368,0.04628526,0.17778847,0.20779615
5,0.27202181,0.25523039,0.91992939,0.93325269,0.85364126,0.85916939,0.74465456,0.75310864,0.7029239,0.68960041,0.83735192,0.83898776,0.87057693,0.88034587,0.08701896,0.04739156,0.18500284,0.20783883
6,0.27924129,0.25319511,0.91837145,0.93379653,0.85131809,0.85980445,0.74112605,0.75408508,0.69626468,0.68646366,0.84041466,0.87372782,0.86250816,0.84631787,0.08380122,0.04750217,0.19544007,0.20569294
7,0.26960765,0.2567783,0.92066646,0.93253358,0.85537272,0.86012277,0.74729367,0.75457492,0.70505513,0.68810363,0.84278412,0.84945295,0.86834309,0.87106404,0.08559522,0.0475848,0.18401243,0.20919351
8,0.29875415,0.26258134,0.90731948,0.93128959,0.84063128,0.85205202,0.72507673,0.74223923,0.68663841,0.67639974,0.8360546,0.88771033,0.84525834,0.8191478,0.0929167,0.05043766,0.20583745,0.21214368
9,0.27007235,0.25645476,0.92451585,0.93336575,0.85939074,0.85817444,0.75344885,0.75158104,0.71133881,0.68341338,0.83439732,0.87262981,0.88592769,0.84419018,0.08317611,0.04721073,0.18689624,0.20924403
10,0.29333306,0.25700733,0.90354028,0.93366274,0.83770904,0.85517882,0.72073953,0.74699773,0.68232206,0.68149425,0.82843408,0.88510361,0.84719403,0.82721134,0.09450156,0.04855961,0.1988315,0.20844772
11,0.27720023,0.25542384,0.90804216,0.93466606,0.8517405,0.85764664,0.74176656,0.75077175,0.70042071,0.69459803,0.82149712,0.81151306,0.88429582,0.90934165,0.08727262,0.04848197,0.18992761,0.20694187
