epoch,loss,val_loss,auc_pr,val_auc_pr,f1,val_f1,iou,val_iou,soft_iou,val_soft_iou,prec,val_prec,rec,val_rec,loss_bce,val_loss_bce,loss_dice,val_loss_dice
1,0.70899954,1.09965703,0.55138053,0.15703016,0.45758705,0.19920431,0.29666961,0.11062016,0.31153008,0.14871173,0.57524977,0.14502863,0.37988469,0.31799002,0.17173213,0.34059024,0.53726741,0.75906679
2,0.49001362,0.61447462,0.80636307,0.63241235,0.76296788,0.66026133,0.61677289,0.49282845,0.47564331,0.36173503,0.7224106,0.71507443,0.80834992,0.61325321,0.12736302,0.10073804,0.3626506,0.51373657
3,0.46820908,0.47828173,0.78981919,0.82102496,0.76084964,0.77017891,0.61400913,0.62625281,0.53945666,0.48464766,0.72454797,0.78545648,0.80098078,0.75548433,0.12846594,0.07264536,0.33974314,0.40563637
4,0.37038161,0.36174375,0.85302838,0.90055947,0.79372586,0.81963793,0.65799791,0.69439535,0.60919246,0.61424407,0.74072752,0.75200584,0.85489261,0.90063727,0.11814803,0.08020997,0.25223359,0.28153378
5,0.39900412,0.29734462,0.83579654,0.90106301,0.77269324,0.83351674,0.62958445,0.71455526,0.58477475,0.65350694,0.75739572,0.84314223,0.78862145,0.82410856,0.1245681,0.05880938,0.27443603,0.23853525
6,0.32004754,0.33296851,0.89187005,0.91826824,0.82102898,0.83619631,0.69639453,0.71850288,0.64339658,0.61348271,0.80514536,0.76908511,0.8375519,0.91613964,0.0985647,0.05608878,0.22148284,0.27687973
7,0.32445051,0.3240496,0.88704383,0.91515362,0.82389492,0.81579315,0.70052833,0.68889413,0.65472776,0.61793289,0.8079204,0.91243267,0.8405139,0.73766409,0.10095045,0.05631767,0.22350007,0.26773193
8,0.31744914,0.27277037,0.87932165,0.92481065,0.82169619,0.85378249,0.69735512,0.74486952,0.65503758,0.67181725,0.78871122,0.85209073,0.85756054,0.85548098,0.10177954,0.04905672,0.2156696,0.22371364
9,0.37908228,0.26295463,0.83063027,0.92278452,0.78913673,0.84486897,0.65171415,0.73140531,0.61182824,0.68245726,0.75934282,0.80613531,0.82136413,0.88751269,0.12321258,0.05277269,0.2558697,0.21018194
10,0.31819888,0.27774259,0.90143806,0.91448799,0.8327189,0.83345303,0.71338335,0.71446162,0.65703301,0.66996837,0.81518091,0.76816737,0.85102812,0.91086653,0.09339773,0.05455224,0.22480115,0.22319035
11,0.31816729,0.28171471,0.87620659,0.92587146,0.82404666,0.84837427,0.70074775,0.73667534,0.66215187,0.66860337,0.78421275,0.79432625,0.86814383,0.91031444,0.10407748,0.05217641,0.21408981,0.2295383
12,0.27810727,0.26121149,0.91060695,0.92767613,0.84287051,0.85111666,0.72841502,0.74082079,0.68231384,0.68269903,0.8392848,0.80988243,0.84648698,0.89677493,0.09227265,0.04870772,0.18583462,0.21250376
13,0.31237255,0.28536819,0.89667717,0.92605876,0.82983055,0.84913012,0.70915418,0.73781592,0.66570704,0.65005894,0.81928853,0.85813679,0.8406474,0.84031055,0.09703867,0.04592451,0.21533387,0.23944368
14,0.30433218,0.28790052,0.89672268,0.92538378,0.8305397,0.84535582,0.71019058,0.73213535,0.67487921,0.65918868,0.78856179,0.79128693,0.87723816,0.90735573,0.10136118,0.05181251,0.20297099,0.236088
15,0.31525181,0.26744421,0.88708623,0.92702714,0.81961864,0.84823048,0.69436765,0.73645852,0.65960061,0.68413018,0.80908383,0.80277517,0.83043141,0.89914236,0.10557345,0.05288921,0.20967836,0.21455501
16,0.26046631,0.26119439,0.92031893,0.92960271,0.85517843,0.8545623,0.74699713,0.74605742,0.70714349,0.68447416,0.81276519,0.82684589,0.90226195,0.88420129,0.0852044,0.04855429,0.17526191,0.21264011
17,0.29360403,0.26029418,0.90095368,0.92999518,0.83273651,0.85341284,0.7134092,0.744307,0.67219802,0.67960405,0.84001106,0.88021261,0.82558688,0.8281968,0.09656055,0.05065777,0.19704348,0.20963641
18,0.26084752,0.25580958,0.92335046,0.93258025,0.85559799,0.85862686,0.74763762,0.75227534,0.70287946,0.68560914,0.84598131,0.86655929,0.86543582,0.85083834,0.08343315,0.04759234,0.17741436,0.20821725
19,0.32978744,0.31469292,0.89583009,0.9265396,0.82190976,0.81977422,0.69766282,0.69459102,0.65985184,0.64505297,0.79035792,0.7246919,0.85608551,0.94357481,0.10136206,0.06524953,0.22842538,0.24944338
20,0.28049172,0.25683747,0.91310176,0.92924133,0.84542653,0.85357376,0.73224143,0.74455183,0.68988479,0.67738757,0.84112411,0.85436622,0.84977319,0.85278276,0.0911273,0.04720673,0.18936442,0.20963074
